File,Density,CellLine,Model,SSR,BIC,r,K,v,d
A2780Naive_day_averages.csv,20k,A2780Naive,theta_logistic,165077.07176030608,139.16871780986503,1.1366584664093475,4077.2405927626937,0.6241147036530458,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,logistic,218173.6463345166,140.4339639898723,0.9293739515097456,4014.8064102180347,NaN,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,gompertz,449578.51271194784,150.5562330263394,0.40699631667517805,4287.943080353181,NaN,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,logistic_death,218173.6463345442,143.07302131948933,1.8508805854628951,7995.626762502621,NaN,0.9215066339531909
A2780cis_day_averages.csv,20k,A2780cis,theta_logistic,523607.51763174904,155.32933676123605,0.4944310037420334,3744.5431841094423,3.950812540346932,NaN
A2780cis_day_averages.csv,20k,A2780cis,logistic,1.0911643386994768e6,162.96989443079082,0.608989434571655,3994.201745613535,NaN,NaN
A2780cis_day_averages.csv,20k,A2780cis,gompertz,2.682817265264054e6,175.56460430678118,0.23854378537587595,4854.477120355404,NaN,NaN
A2780cis_day_averages.csv,20k,A2780cis,logistic_death,1.0911643386994796e6,165.60895176040611,1.2911443562855442,8468.276703917028,NaN,0.6821549217138909
A2780Naive_day_averages.csv,30k,A2780Naive,theta_logistic,304802.01472428546,147.75421735288052,1.0545191246120271,4035.569668730678,0.5748389959027119,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,logistic,365676.1055906406,147.6643577290656,0.8168872013770703,3949.1283962613634,NaN,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,gompertz,507908.5375419659,152.2641053706047,0.3689273463721524,4264.450122779898,NaN,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,logistic_death,365676.22931998,150.3034197956884,1.6970758445963479,8204.297138576772,NaN,0.8801898992803453
A2780cis_day_averages.csv,30k,A2780cis,theta_logistic,506274.76889739453,154.85805688815574,0.46525046204331894,3840.3070590669213,3.287467937981959,NaN
A2780cis_day_averages.csv,30k,A2780cis,logistic,1.0055159151996322e6,161.8254704716187,0.5795510240007554,4078.7608559864702,NaN,NaN
A2780cis_day_averages.csv,30k,A2780cis,gompertz,2.4079939498760975e6,174.0515760651856,0.2380922513877961,4889.612175464785,NaN,NaN
A2780cis_day_averages.csv,30k,A2780cis,logistic_death,1.0055159151992691e6,164.4645278012289,1.1592773771068143,8158.755642157707,NaN,0.5797263531062363
