dose_uM,corrected_condition,source_folder,rS_per_day,dS_per_day,alpha_per_day,rR_per_day,dR_per_day,L1,BIC
0.67,IC25,IC75,0.5747635863004148,0.6257961772954992,0.7341910274017833,0.571320934820576,0.6110929152398952,3.0141329754094546,-13.54092084669198
1.0,IC50,IC50,0.7182863928203107,0.886370688365836,0.10612372857129604,0.09926509891313627,0.0063819484205824804,4.302364075978467,-0.9127893677233772
1.47,IC75,IC25,0.41371218976214613,0.5811543943443961,0.48113536066777673,0.03442767514830901,0.5787272373530721,0.4925216747553886,-66.34371653685872
