parameter,estimate,lower_95,median,upper_95,retained
r,0.5676962643118987,0.5568005839037716,0.5673779375191313,0.5791399806702258,143
d[1],0.6109158220346285,0.5932343328167042,0.6106238891748619,0.6290260489195449,143
d[2],0.5996686686521419,0.5821445663732393,0.5981655480449771,0.618701055451714,143
d[3],1.135684028312396,1.1092558114714963,1.135545956454679,1.1649495108848693,143
