dose_uM,corrected_condition,source_folder,model,free_parameters,L1,BIC
0.67,IC25,IC75,two population,5,3.0141329754094546,-13.54092084669198
0.67,IC25,IC75,three population,6,3.000600614338799,-11.206687616326835
1.0,IC50,IC50,two population,5,4.302364075978467,-0.9127893677233772
1.0,IC50,IC50,three population,6,4.41923129087668,1.8871772311477883
1.47,IC75,IC25,two population,5,0.4925216747553886,-66.34371653685872
1.47,IC75,IC25,three population,6,0.4744829761799977,-62.231665699989804
