stage,trajectories,points,median_normalized_RMSE,worst_normalized_RMSE
1,4,64,0.035969632601767436,0.044678846446266095
2,12,180,0.11369282953057204,0.20491166903145183
3,12,180,0.1361936837111179,0.21223919732906227
4,24,360,0.1371766308986527,0.28769220273935214
