dose,n_points,rmse,mae,sse,initial_count,final_observed,final_predicted
0.67,14,950.9407600982202,783.4648769634772,1.266003660902653e7,323.35910499999994,1675.6824266666665,2772.0496912142753
1.0,14,329.75313705956006,270.10403680486996,1.522319839608694e6,160.55801508333334,3273.951543083334,2593.8778999178726
1.47,14,696.8833597173941,563.6014086581717,6.79904983871404e6,252.91170900000006,3299.205121583334,2471.2734058367523
