start_id,objective,converged,retcode,aic,bic,params
1,1.0e12,true,Success,46741.53554585239,46776.1136737065,"[2.5000005, 5.0000000005e6, 2.55, 10.0, 5000.000000005, 4.05]"
2,1.0e12,true,Success,46741.53554585239,46776.1136737065,"[3.5541196258933647, 644852.5119187818, 2.441428941227884, 3.5541861115906492, 535.1988748391968, 2.4944349077209753]"
3,1.0e12,true,Success,46741.53554585239,46776.1136737065,"[2.237887647711956, 1.435908582133519e6, 1.12276592265911, 9.252758523499946, 1942.3615895019968, 6.472522703523309]"
4,1.0e12,true,Success,46741.53554585239,46776.1136737065,"[1.8802957049125983, 8.02455486795375e6, 0.6267383206850646, 6.511639369457751, 6972.202836445348, 5.903172411454357]"
5,1.0e12,true,Success,46741.53554585239,46776.1136737065,"[4.423658451901073, 5.618241112460125e6, 4.320706614230134, 11.757660767244031, 5195.3465287338695, 6.346136219785426]"
