Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,C4,6,71.799421,12.439534,5.078418
1,C5,6,72.274537,21.251671,8.675958
1,C6,6,95.424190,8.322469,3.397634
2,C4,6,126.396991,25.235905,10.302515
2,C5,6,130.276852,50.574148,20.646810
2,C6,6,153.371759,30.222745,12.338384
3,C4,6,230.708449,35.911126,14.660656
3,C5,6,247.303356,64.055940,26.150728
3,C6,6,290.084606,39.723931,16.217227
4,C4,6,480.306597,93.960782,38.359329
4,C5,6,541.917477,185.523841,75.739791
4,C6,6,632.238889,151.576420,61.880814
5,C4,6,824.098727,137.574660,56.164620
5,C5,6,918.609375,273.336935,111.589337
5,C6,6,1054.037731,215.406152,87.939193
6,C4,6,1412.739931,284.880358,116.301919
6,C5,6,1639.093981,418.391110,170.807455
6,C6,6,1838.596875,317.698790,129.699988
7,C4,6,2077.490046,362.765665,148.098462
7,C5,6,2280.544676,292.529587,119.424704
7,C6,6,2689.712153,263.928610,107.748404
8,C4,6,2157.079398,414.061258,169.039801
8,C5,6,2451.959259,329.822113,134.649314
8,C6,6,2423.562269,268.182461,109.485031
9,C4,6,3053.332176,568.279595,231.999173
9,C5,6,3249.810995,275.627784,112.524572
9,C6,6,3482.300116,553.199105,225.842589
10,C4,6,2375.641898,525.311316,214.457447
10,C5,6,3001.510648,335.603058,137.009375
10,C6,6,2856.056944,545.780124,222.813803
11,C4,6,3269.232870,269.717243,110.111603
11,C5,6,3754.017361,382.627380,156.206974
11,C6,6,3848.782639,242.029583,98.808164
12,C4,6,2421.899306,928.742402,379.157498
12,C5,6,2732.355903,758.428176,309.627006
12,C6,6,2816.262963,824.123311,336.446933
13,C4,6,3527.602199,557.986731,227.797129
13,C5,6,4079.821528,229.310326,93.615549
13,C6,6,4100.301389,249.865566,102.007190
14,C4,6,2836.626042,570.325865,232.834560
14,C5,6,3193.987384,867.910438,354.322953
14,C6,6,2932.701620,1116.265087,455.713314
