Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,C1,6,328.855556,48.547105,19.819273
1,C2,6,337.256597,93.938113,38.350074
1,C3,6,249.456713,53.038340,21.652812
2,C1,6,504.633912,186.019740,75.942241
2,C2,6,496.346065,143.392592,58.539780
2,C3,6,395.932176,89.406826,36.500184
3,C1,6,850.662153,117.883157,48.125597
3,C2,6,859.936921,256.900299,104.879108
3,C3,6,660.045602,139.613676,56.997044
4,C1,6,898.265162,105.969751,43.261970
4,C2,6,958.459028,175.393988,71.604296
4,C3,6,786.121412,207.202336,84.590000
5,C1,6,1400.128356,149.850010,61.176010
5,C2,6,1341.426505,293.635396,119.876149
5,C3,6,1089.448380,303.172939,123.769834
6,C1,6,1596.895255,253.490343,103.486999
6,C2,6,1733.451157,425.646313,173.769380
6,C3,6,1505.690278,405.246328,165.441121
7,C1,6,2109.592130,283.322252,115.665825
7,C2,6,2256.806019,494.407419,201.840984
7,C3,6,1682.875116,450.118948,183.760291
8,C1,6,2174.627662,350.936759,143.269332
8,C2,6,2179.494097,386.603923,157.830391
8,C3,6,1890.111574,392.619526,160.286250
9,C1,6,2506.363889,327.372811,133.649391
9,C2,6,2479.985185,466.378895,190.398386
9,C3,6,2198.815046,509.033955,207.812242
10,C1,6,2712.872801,422.285295,172.397250
10,C2,6,2663.041204,309.729501,126.446539
10,C3,6,2235.681250,528.404355,215.720175
11,C1,6,3321.203241,338.350639,138.131070
11,C2,6,3170.084606,381.613280,155.792969
11,C3,6,2730.374653,399.937693,163.273880
12,C1,6,3123.035417,480.992612,196.364412
12,C2,6,3118.761690,338.418548,138.158794
12,C3,6,2885.307870,449.452128,183.488063
13,C1,6,3500.011806,472.849607,193.040044
13,C2,6,3638.495370,192.884514,78.744773
13,C3,6,3474.731944,309.894133,126.513750
14,C1,6,3554.566319,577.655963,235.827059
14,C2,6,3486.079630,395.734673,161.558004
14,C3,6,3334.496644,724.629202,295.828633
