Image,Area µm^2,Confluency %,Perimeter µm,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_C3.tif,132834.7,20.95361238,46533.2,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_C6.tif,230309.4,36.32946733,51797.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_A3.tif,105827.9,16.6935055,42216.6,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_A6.tif,182940.6,28.85741768,51511.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_B3.tif,117759.3,18.5755885,40384.1,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_B6.tif,129546.9,20.4349882,45275.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_C3.tif,114716,18.09553225,36276.7,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_C6.tif,230124.7,36.30033238,56759.7,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_A3.tif,115359.6,18.197055,38264.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_A6.tif,132580.1,20.91345126,41445.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_B3.tif,57950,9.141149393,24510.8,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_B6.tif,159587.4,25.17363701,45168.8,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_C3.tif,85255.9,13.4484369,32341.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_C6.tif,326204.8,51.45620034,55597.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_A3.tif,73816.9,11.64402607,29450.5,15.48595888
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_A6.tif,111873,17.64707172,26033.1,20.37185722
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_B3.tif,168745.2,26.61820677,41845.3,18.0488301
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_B6.tif,112485.8,17.74373602,27573.9,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_C3.tif,137075.8,21.62261201,39075.2,21.4065002
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_C6.tif,182030.8,28.713904,38578.7,18.6115195
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_A3.tif,74900.3,11.81492376,30279.9,29.63185733
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_A6.tif,180033.9,28.39890899,44833,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_B3.tif,91723.1,14.46858602,31460.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_B6.tif,121085.5,19.10026997,37962.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_C3.tif,86999.2,13.72342855,33784.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_C6.tif,192400,30.34956244,44429,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_A3.tif,107555.5,16.9660206,27931,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_A6.tif,118449.5,18.68446204,33469.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_B3.tif,178103.4,28.09438804,35864.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_B6.tif,123724.5,19.51655113,38612.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_C3.tif,174633,27.54696017,38655.5,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_C6.tif,218436.2,34.45656492,44369.2,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_A3.tif,90303.6,14.24467124,27780.2,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_A6.tif,113422,17.89141409,35731.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_B3.tif,118327.1,18.66515441,37251.3,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_B6.tif,108494.2,17.11409302,41104,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_C3.tif,85585.8,13.50047599,28069,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_C6.tif,170223.4,26.85138101,37264.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_A3.tif,152206.9,24.00942211,39830.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_A6.tif,151447.3,23.88960128,42303.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_B3.tif,152604.6,24.07215611,41263.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_B6.tif,144017.1,22.71754661,47349.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_C3.tif,131802.4,20.7907753,34038.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_C6.tif,211937.1,33.43138383,48550.6,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_A3.tif,90253,14.23668949,31550.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_A6.tif,139008.9,21.92754309,46614.3,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_B3.tif,65376.7,10.31265197,25619.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_B6.tif,98115.4,15.47692026,36271,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_C3.tif,70423.4,11.10872856,28384.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_C6.tif,152073.3,23.98834778,43323.5,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_A3.tif,31771.1,5.011637126,13235.6,6.841691554
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_A6.tif,32208.9,5.080696578,13534.4,7.653884124
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_B3.tif,29528.4,4.657869124,14581.5,9.720769774
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_B6.tif,48453.2,7.643105087,20339.3,
