Image,Area µm^2,Confluency %,Perimeter µm,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B2.tif,555260.2,87.58785919,34321.9,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B5.tif,438212.4,69.12450413,56496.5,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C2.tif,594634.6,93.79885613,23590.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C5.tif,629770.3,99.34123202,5776.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A2.tif,620272.5,97.84302997,11256.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A5.tif,554946.4,87.53835975,39583.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B2.tif,582769,91.92715255,23623,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B5.tif,444431.1,70.10545436,52094.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C2.tif,585402.4,92.34255036,26723.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C5.tif,533741.4,84.19344046,39620.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A2.tif,559908.7,88.32112292,35246.7,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A5.tif,535008,84.39323649,51292.2,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B2.tif,475168.9,74.95409667,49937.8,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B5.tif,531083.7,83.77420952,47051,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C2.tif,570165.6,89.93906692,30423.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C5.tif,540593.2,85.27425715,39694.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A2.tif,542071.8,85.50749449,37073.4,87.00704523
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A5.tif,550373.4,86.81700554,37215.7,90.40875164
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B2.tif,595130.5,93.87708039,23042.5,88.84003629
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B5.tif,593404.9,93.60488078,19019,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C2.tif,578206,91.20737577,30060.8,89.00964575
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C5.tif,590582.2,93.15962242,22625.6,89.9092458
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A2.tif,524506.2,82.73666146,43285.1,91.12405644
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A5.tif,525131.6,82.83531331,46840.5,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B2.tif,551878.3,87.05439149,35871.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B5.tif,578584.5,91.26708112,27963.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C2.tif,495630.6,78.18176632,51406,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C5.tif,527241.8,83.1681805,40288.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A2.tif,608334,95.959827,13197.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A5.tif,547693.4,86.39425696,40860.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B2.tif,582751.7,91.92442362,25612,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B5.tif,614892.3,96.99434642,12683.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C2.tif,582696.6,91.91573203,21890.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C5.tif,616967.6,97.32170841,9620.5,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A2.tif,549360.8,86.65727599,38809.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A5.tif,560971.8,88.48881845,35882.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B2.tif,573876.8,90.52447907,29107.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B5.tif,598407.1,94.39393786,20268.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C2.tif,563098.2,88.82424105,29473.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C5.tif,618910.8,97.62823268,10572.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A2.tif,570949.4,90.06270511,33617.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A5.tif,600963.1,94.79712643,20747.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B2.tif,594298,93.74576017,18624.9,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B5.tif,515718.3,81.35044047,42669,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C2.tif,600435.3,94.7138702,19034.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C5.tif,576597.8,90.95369507,27932.4,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A2.tif,514246.7,81.11830733,43825.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A5.tif,600508.1,94.72535382,21821.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B2.tif,540923.6,85.32637511,35484.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B5.tif,518852.2,81.84478815,39721.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C2.tif,559123.3,88.19723234,35410.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C5.tif,535766.6,84.51289957,44939.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A2.tif,582565.5,91.89505206,28143,89.63305532
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A5.tif,573524.6,90.46892233,28235.5,91.97476172
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B2.tif,575673.8,90.80794146,32618.9,86.36194088
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B5.tif,460329.8,72.61334723,67700.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C2.tif,574594.9,90.6377536,29796.2,86.81790467
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C5.tif,610800.5,96.34889767,15408.1,86.16856758
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A2.tif,495456,78.15422457,47052.5,89.06153236
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A5.tif,552980,87.22817586,35112.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B2.tif,569848.3,89.88901539,31958.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B5.tif,533725.7,84.19096391,44535.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C2.tif,502332.6,79.23895326,52793.2,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C5.tif,498479.1,78.63109443,38977.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A2.tif,603772.1,95.24022373,17836.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A5.tif,515591.3,81.33040723,41034.3,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B2.tif,605446.1,95.50428386,19448.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B5.tif,610081.4,96.23546539,17314.6,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C2.tif,546851.8,86.26150129,36771.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C5.tif,602302.1,95.00834298,19780.2,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A2.tif,574393.5,90.60598436,33933.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A5.tif,522410.7,82.40611308,41920.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B2.tif,546790.1,86.2517686,37888.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B5.tif,572087,90.24215242,32876.4,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C2.tif,566855.6,89.41694088,31985.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C5.tif,504154.8,79.52639075,35075.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A2.tif,562845.2,88.78433233,35349.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A5.tif,557607.7,87.95815856,41269.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B2.tif,611475.5,96.45537352,14797.8,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B5.tif,550408.8,86.82258961,39803.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C2.tif,566411.3,89.3468561,34937.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C5.tif,600993.9,94.80198489,22393.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A2.tif,590321.6,93.11851485,25409.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A5.tif,580160.3,91.51565098,28181.4,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B2.tif,589191.1,92.94018751,25509.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B5.tif,550943.2,86.90688694,36650.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C2.tif,527885,83.26964016,46526.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C5.tif,570884.6,90.05248343,32806.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A2.tif,585784.9,92.40288668,25197.9,88.89729401
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A5.tif,581955.2,91.79878211,25936.3,91.63443071
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B2.tif,600319.4,94.6955879,21111.9,91.10968089
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B5.tif,550260.5,86.79919647,38756.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C2.tif,590812.9,93.1960135,22960,88.55576942
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C5.tif,586901.8,92.57906873,22607.1,90.23092119
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A2.tif,542135.6,85.51755843,36951.1,84.5657747
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_A5.tif,561602.9,88.58836943,33027.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B2.tif,553190,87.26130169,32748.4,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_B5.tif,554388.3,87.45032393,33596.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C2.tif,552725.4,87.18801475,34538.1,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-1_C5.tif,586096.2,92.45199177,26947.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A2.tif,528413.3,83.35297526,37824.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_A5.tif,533305.7,84.12471227,37652.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B2.tif,553162.6,87.25697955,34920.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_B5.tif,610382,96.28288264,14732.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C2.tif,591758.2,93.34512702,21524.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-2_C5.tif,471784,74.42015574,47716.9,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A2.tif,580356.2,91.54655264,26181,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_A5.tif,493710.7,77.87891744,51717.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B2.tif,583837.7,92.09573144,27192.6,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_B5.tif,480322.4,75.76702011,57742.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C2.tif,545611,86.065775,37736.4,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-3_C5.tif,352273.8,55.56837676,56132.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A2.tif,578326.4,91.22636791,31396.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A5.tif,590375.7,93.12704869,26632,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B2.tif,611766.5,96.50127645,15618.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B5.tif,622876.6,98.25380594,9579.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C2.tif,620799.3,97.92612846,10825.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C5.tif,615411.5,97.07624607,14484.8,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A2.tif,566351.5,89.33742313,36138.7,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A5.tif,607427.2,95.81678655,18936.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B2.tif,583203.6,91.99570723,28376.3,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B5.tif,613865,96.83229805,13806.2,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C2.tif,563813.2,88.93702659,33768.5,
50-50_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C5.tif,604143.5,95.29880912,20044.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A2.tif,575271,90.74440298,29146,83.7413729
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A5.tif,595116.8,93.87491933,24469.5,92.7382199
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B2.tif,623758.6,98.39293439,10099.9,84.73767142
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B5.tif,588243.3,92.79067963,26347.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C2.tif,609723.1,96.17894643,19293.6,92.66813512
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C5.tif,615888.2,97.15144168,12946.8,97.0093135
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A2.tif,590228.5,93.10382907,26125.6,92.29352151
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A5.tif,595598.6,93.95091943,23301.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B2.tif,614713.7,96.96617369,13013.7,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B5.tif,612506.3,96.61797398,16452.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C2.tif,617952.8,97.47711583,11814.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C5.tif,583211.7,91.99698494,21302.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A2.tif,286840,45.24671772,69864.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_A5.tif,583019.4,91.96665115,31234.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B2.tif,522129.3,82.36172448,44797.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_B5.tif,627302.4,98.95194052,5975.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C2.tif,453966.9,71.6096506,40762.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-2_C5.tif,621757.7,98.0773084,10903.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A2.tif,601374,94.86194262,21698,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_A5.tif,612135.4,96.55946747,15800.8,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B2.tif,622432.8,98.18380003,9868,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_B5.tif,620412.2,97.86506653,11824.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C2.tif,512311.1,80.81298189,40182.1,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-3_C5.tif,488682.7,77.08579062,45150.3,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A2.tif,550994.3,86.91494756,39611.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_A5.tif,598283.6,94.37445672,21067.8,
