Image,Area µm^2,Confluency %,Perimeter µm,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A3.tif,4700.6,0.741482085,50348.9,0.885681942
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A6.tif,2027.7,0.319853471,34910.9,0.68236038
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B3.tif,4045.3,0.638113747,27869.8,0.639373054
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B6.tif,2503.4,0.394891344,50094.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C3.tif,5133.3,0.809737052,18701.8,0.40096704
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C6.tif,2373.3,0.374369109,44218.4,0.68034917
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A3.tif,4330.7,0.683133316,33287.6,0.400155458
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A6.tif,2341.9,0.36941601,59652.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B3.tif,5882.7,0.927948913,9751.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B6.tif,5589.7,0.881730505,61581.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C3.tif,2766,0.436314396,56388.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C6.tif,3316.6,0.523167145,58619.2,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A3.tif,7359.8,1.160949634,12211.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A6.tif,1866.8,0.294472781,55496.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B3.tif,4650,0.73350034,30473.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B6.tif,2404.2,0.379243337,35475.7,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C3.tif,3972.9,0.626693226,15788,
