Image,Area µm^2,Confluency %,Perimeter µm,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A1.tif,590887.3,93.2077495,20289.5,90.8332275
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A4.tif,605257.3,95.47450216,20103.1,90.70447585
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B1.tif,569957.1,89.90617772,31082.3,86.9404597
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B4.tif,576714.2,90.97205624,28649.5,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C1.tif,559074.2,88.18948721,36303.8,92.64270974
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C4.tif,562098.3,88.66651482,32099.6,86.98879185
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A1.tif,370901.6,58.50676334,44914.1,86.47531795
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A4.tif,561308.9,88.54199328,38518.9,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B1.tif,520796.4,82.15147016,41024.4,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B4.tif,529293.3,83.49178823,43519.8,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C1.tif,520384,82.08641735,45456.2,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C4.tif,484541.8,76.43259674,48946.1,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A1.tif,631822.8,99.66499749,4268.2,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A4.tif,593583.5,93.63305351,26055.8,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B1.tif,592147.9,93.40659908,24065.4,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B4.tif,563213.6,88.84244448,33617.6,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C1.tif,583382.3,92.02389573,26976.3,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C4.tif,556555.1,87.79211932,34633.5,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A1.tif,632737.3,99.80925256,4336.5,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A4.tif,576625.1,90.95800143,35595.2,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B1.tif,582410.7,91.87063359,27670.6,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B4.tif,496446.3,78.31043648,58491.2,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C1.tif,556721.1,87.81830449,35455.8,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C4.tif,538282.1,84.9096996,41693,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A1.tif,625857.1,98.72395599,8438.2,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A4.tif,593571.4,93.63114483,24041.3,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B1.tif,593299.1,93.58819168,22493.3,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B4.tif,573364.2,90.44362051,32661.6,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C1.tif,546966.2,86.27954697,37140.3,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C4.tif,583112.6,91.98135271,28254,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A1.tif,602798.5,95.08664611,18956.4,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A4.tif,593485.3,93.61756324,29303.9,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B1.tif,591496.1,93.30378284,24165,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B4.tif,569743,89.87240515,31088,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C1.tif,540408.4,85.24510643,40867.9,
75-25_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C4.tif,564653.8,89.06962452,34401.6,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A1.tif,591190.5,93.25557688,22260,92.73268578
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A4.tif,563575.4,88.89951554,35287.9,87.8064791
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B1.tif,549978.1,86.75465013,34098.5,87.21499652
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B4.tif,601254,94.84301358,19498.5,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C1.tif,583695,92.07322165,31408.1,93.01999445
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C4.tif,551325.2,86.96714439,35091.6,93.19760144
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A1.tif,476986.6,75.24082431,41654.6,88.75029949
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A4.tif,581728,91.76294312,29830.3,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B1.tif,492214.8,77.64295117,52855.8,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B4.tif,565714.9,89.23700457,33910.7,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C1.tif,542493.3,85.57398274,39201.8,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C4.tif,559700.2,88.28823371,35586.7,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A1.tif,630214.1,99.41123792,5407.8,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A4.tif,629222.3,99.2547894,6423.6,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B1.tif,599143.9,94.51016217,19812.9,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B4.tif,625282.8,98.63336476,8653,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C1.tif,561466.2,88.5668061,33714.4,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C4.tif,629878.6,99.35831548,5525.9,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A1.tif,622553.7,98.20287104,10104.2,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A4.tif,583771.4,92.08527314,26578,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B1.tif,579069.8,91.34363332,28152.9,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B4.tif,591635.8,93.3258194,27222.5,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C1.tif,515252.2,81.27691691,50637.7,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C4.tif,510081.5,80.46128031,44124.5,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A1.tif,603879.9,95.25722832,21000.9,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A4.tif,597255.3,94.21225061,20914.1,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B1.tif,552996.2,87.23073128,36742,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B4.tif,595754.4,93.97549563,27312.1,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C1.tif,557916.9,88.00693239,34361.7,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C4.tif,589718.4,93.02336487,25788.4,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A1.tif,602429.1,95.02837622,18822.7,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A4.tif,582629.8,91.90519487,30042.3,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B1.tif,566474,89.35674653,31815,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B4.tif,565295.9,89.17091067,35185.5,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C1.tif,556555.1,87.79211932,37662.5,
75-25_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C4.tif,535072.8,84.40345817,38622.8,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A1.tif,561703.1,88.60417518,31203.3,91.24725032
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A4.tif,562085.6,88.6645115,38896,89.62805752
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B1.tif,564142.2,88.98892371,35078.8,83.1547698
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B4.tif,596500.8,94.09323427,21927.1,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C1.tif,533586,84.16892735,48226.2,91.23878746
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C4.tif,592030.5,93.38808017,22863.2,90.37027837
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A1.tif,452785.8,71.42334151,51711.9,93.23630607
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A4.tif,562541.1,88.73636298,39006.9,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B1.tif,519427.1,81.93547403,46133.4,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B4.tif,555363.9,87.60421704,39460.8,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C1.tif,506989.6,79.9735578,47674.2,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C4.tif,574785.7,90.66785078,33613.4,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A1.tif,629913.6,99.36383645,6166.1,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A4.tif,618962.9,97.63645104,10980.6,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B1.tif,593063.8,93.55107498,22755.1,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B4.tif,614665.1,96.95850743,14740.9,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C1.tif,541499,85.41713986,40678.6,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C4.tif,610760.5,96.34258799,14262.8,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A1.tif,621527.5,98.04099619,12147.3,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A4.tif,566283.2,89.32664935,34828.4,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B1.tif,565501.4,89.20332665,31833.5,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B4.tif,533727.2,84.19120052,45362.3,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C1.tif,481162.4,75.89952339,54898.8,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C4.tif,564900.7,89.10857102,34317.6,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A1.tif,614907,96.99666522,14614.3,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A4.tif,597325.7,94.22335565,23405.3,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B1.tif,575780.1,90.82470943,32264.6,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B4.tif,581749.3,91.76630303,31002.7,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C1.tif,562412.5,88.71607736,35482.8,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C4.tif,615643.3,97.11281067,15251.6,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A1.tif,589915.7,93.05448737,26868.2,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A4.tif,563232.3,88.84539426,36988.1,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B1.tif,591249.2,93.26483634,25657.5,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_B4.tif,555389.2,87.60820791,41786.9,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C1.tif,537291.2,84.75339304,41297.5,
75-25_co-cultureA2780_15and20_Day14_TX RED_Tile-5_C4.tif,588289.3,92.79793576,23950.2,
75-25_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A1.tif,538911.6,85.00899819,35300.7,86.49000373
75-25_co-cultureA2780_15and20_Day16_TX RED_Tile-0_A4.tif,543034.8,85.65940004,41290.4,83.83278439
75-25_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B1.tif,570467.2,89.98664191,27484.3,88.28213435
75-25_co-cultureA2780_15and20_Day16_TX RED_Tile-0_B4.tif,610822.2,96.35232067,19600.9,
75-25_co-cultureA2780_15and20_Day16_TX RED_Tile-0_C1.tif,560545.2,88.42152571,34825.5,90.35631031
