Image,Area µm^2,Confluency %,Perimeter µm,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_A2.tif,2875.3,0.453555597,1465.4,0.667871777
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_A5.tif,2403.2,0.379085595,1217.9,0.760621449
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_B2.tif,4945,0.780034232,2092.8,0.575329799
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_B5.tif,6071.5,0.957730605,2784.3,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_C2.tif,2862.7,0.451568048,1361.6,0.473381139
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-0_C5.tif,3142.5,0.495704262,1486.8,0.742173521
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_A2.tif,2528.2,0.398803346,1095.5,0.443617851
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_A5.tif,2556,0.403188574,1109.7,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_B2.tif,3579.7,0.564669068,1656.1,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_B5.tif,9251.4,1.459334417,4394.8,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_C2.tif,2480.6,0.391294826,1259.1,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-1_C5.tif,4218.8,0.665481985,1984.7,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_A2.tif,5197,0.819785218,2397.3,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_A5.tif,3311.5,0.522362661,1459.7,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_B2.tif,4545.2,0.716968977,2297.7,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_B5.tif,5179.3,0.816993185,2486.9,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_C2.tif,4776,0.753375833,2247.9,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-2_C5.tif,2886.4,0.455306533,1472.5,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-3_A2.tif,3743.2,0.590459886,1784.1,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-3_A5.tif,2461.9,0.388345051,1179.4,
50-50_co-cultureA2780_15and20_Day1_FITC_Tile-3_B2.tif,3595.4,0.567145617,1641.8,
