model,sse,weighted_sse,aic,bic,n_params,delta_bic
one_stage_transit_linear_kill,1.0e12,1.0e12,14201.152585072428,14219.193618434521,4,0.0
hill_death_instantaneous,1.0e12,1.0e12,14203.152585072428,14225.703876775044,5,6.510258340522341
transit_hill_combined,1.0e12,1.0e12,14205.152585072428,14232.214135115568,6,13.020516681046502
theta_logistic_hill_kill,1.0e12,1.0e12,14205.152585072428,14232.214135115568,6,13.020516681046502
transit_chain_erlang,1.0e12,1.0e12,14205.152585072428,14232.214135115568,6,13.020516681046502
adaptive_ic50,1.0e12,1.0e12,14205.152585072428,14232.214135115568,6,13.020516681046502
pkpd_inhibition,1.0e12,1.0e12,14207.152585072428,14238.72439345609,7,19.530775021568843
sensitive_resistant,1.0e12,1.0e12,14207.152585072428,14238.72439345609,7,19.530775021568843
