model,bic,ssr,params,cell_line,density,mix
logistic_growth,139.4913494580747,203967.70635301352,"[0.7715260744009237, 4069.9669159830246]",A2780Naive,20k,
generalized_logistic_growth,142.12677736818418,203914.83575136756,"[0.7551313021707842, 4060.53185663832, 1.0462969400874766]",A2780Naive,20k,
logistic_simple_death,142.13042375053615,203967.95348693692,"[2.4454521127902553, 12900.546493843893, 1.6739633360529032]",A2780Naive,20k,
