model,dose,bic,ssr,params,cell_line,density,mix
time_decay_kill_dose_scaled,1.0,142.1783846900014,169505.3648194296,"(fit = [1.0638372084598238, 1350.3858677866124, 0.6945190694321258, 0.30429455440305103], r_anchor = 0.7715262518334443, K_anchor = 4069.966505677363)",A2780Naive,unknown_density,50-50
time_decay_kill_fixed,1.0,142.1944435788247,169699.90979071453,"(fit = [0.9206339334542846, 1343.2089814614346, 0.4795371990013877, 0.3143800964614082], r_anchor = 0.7715262518334443, K_anchor = 4069.966505677363)",A2780Naive,unknown_density,50-50
hill_death_instantaneous,1.0,144.96251908333062,171271.02178883489,"(fit = [0.6319338131619942, 1326.5444625154896, 0.20024071495605447, 8.832467954954204, 4.00191889257989], r_anchor = 0.7715262518334443, K_anchor = 4069.966505677363)",A2780Naive,unknown_density,50-50
