parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
log_contrast_effect,-0.04879012249363949,-0.04879016416943205,0.04879016416943205,4.270921534031962e-7,poorly_identified_at_bound,A2780Naive,joint_ic_effect_logistic_hill,partial_5pct
emax,1.2250041361486006,0.0,5.0,0.2450008272297201,interior,A2780Naive,joint_ic_effect_transit_death,partial_5pct
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,A2780Naive,joint_ic_effect_transit_death,partial_5pct
t_onset,3.0690546743351113,0.0,7.0,0.43843638204787305,interior,A2780Naive,joint_ic_effect_transit_death,partial_5pct
k_clear,0.7664922139338555,0.01,5.0,0.15160164607892895,interior,A2780Naive,joint_ic_effect_transit_death,partial_5pct
log_contrast_effect,-0.04869749881403896,-0.04879016416943205,0.04879016416943205,0.0009496315186734426,poorly_identified_at_bound,A2780Naive,joint_ic_effect_transit_death,partial_5pct
emax_sensitive,1.128639938280489,0.0,5.0,0.2257279876560978,interior,A2780Naive,joint_ic_effect_two_population,partial_5pct
emax_tolerant,0.9732410242759949,0.0,3.0,0.32441367475866495,interior,A2780Naive,joint_ic_effect_two_population,partial_5pct
lambda,0.9157109386404516,0.01,5.0,0.181505198124339,interior,A2780Naive,joint_ic_effect_two_population,partial_5pct
t_onset,2.7918068307327286,0.0,7.0,0.39882954724753267,interior,A2780Naive,joint_ic_effect_two_population,partial_5pct
f_tolerant0,8.889741820397333e-14,0.0,0.95,9.357622968839299e-14,poorly_identified_at_bound,A2780Naive,joint_ic_effect_two_population,partial_5pct
log_contrast_effect,-0.047794284144306816,-0.04879016416943205,0.04879016416943205,0.010205745789939054,poorly_identified_at_bound,A2780Naive,joint_ic_effect_two_population,partial_5pct
k_kill,0.4473220849611575,0.0,4.0,0.11183052124028937,interior,A2780Naive,joint_time_decay_dose_scaled,partial_5pct
lambda,1.2516189603292333e-10,0.0,5.0,2.5032379206584668e-11,poorly_identified_at_bound,A2780Naive,joint_time_decay_dose_scaled,partial_5pct
log_contrast_effect,-0.048790164137827434,-0.04879016416943205,0.04879016416943205,3.238830540602757e-10,poorly_identified_at_bound,A2780Naive,joint_time_decay_dose_scaled,partial_5pct
emax_20k,2.7763897207848336,0.0,3.0,0.9254632402616112,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
