parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
t_onset_30k,0.38815481783078926,0.0,7.0,0.05545068826154132,interior,A2780cis,joint_ic_effect_hill_ramp_onset,independent_diagnostic
emax_20k,0.1347381795955759,0.0,4.0,0.03368454489889398,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
ec50_effect_20k,0.632147296814989,0.05,1.0,0.6127866282263043,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
hill_n_20k,9.32627503270181,0.2,10.0,0.9312525543573276,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
emax_30k,0.1951247426526512,0.0,4.0,0.0487811856631628,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
ec50_effect_30k,0.6016479861276185,0.05,1.0,0.580682090660651,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
hill_n_30k,6.27807028316641,0.2,10.0,0.6202112533843275,interior,A2780cis,joint_ic_effect_logistic_hill,independent_diagnostic
emax_20k,1.5750355884923122,0.0,5.0,0.31500711769846246,interior,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
lambda_20k,0.0480400354726214,0.01,5.0,0.007623253601727735,poorly_identified_at_bound,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
t_onset_20k,3.3617246082652423,0.0,7.0,0.48024637260932035,interior,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
k_clear_20k,0.43929705512308287,0.01,5.0,0.0860314739725617,interior,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
emax_30k,3.191033132194135,0.0,5.0,0.6382066264388271,interior,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
lambda_30k,0.07100659482330082,0.01,5.0,0.012225770505671507,poorly_identified_at_bound,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
t_onset_30k,4.29475447532988,0.0,7.0,0.6135363536185542,interior,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
k_clear_30k,0.013482342018780276,0.01,5.0,0.0006978641320200952,poorly_identified_at_bound,A2780cis,joint_ic_effect_transit_death,independent_diagnostic
emax_sensitive_20k,1.5895149691734975,0.0,5.0,0.3179029938346995,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
emax_tolerant_20k,0.9184031623728903,0.0,3.0,0.3061343874576301,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
lambda_20k,0.03544885638049934,0.01,5.0,0.005099971218536941,poorly_identified_at_bound,A2780cis,joint_ic_effect_two_population,independent_diagnostic
t_onset_20k,2.2245490058432456,0.0,7.0,0.31779271512046364,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
f_tolerant0_20k,0.6282765275627707,0.0,0.95,0.6613437132239692,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
emax_sensitive_30k,1.7900056538993676,0.0,5.0,0.3580011307798735,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
emax_tolerant_30k,0.29496820096722604,0.0,3.0,0.09832273365574201,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
lambda_30k,0.22571166623420685,0.01,5.0,0.04322879082849836,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
t_onset_30k,4.968413265838685,0.0,7.0,0.7097733236912408,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
f_tolerant0_30k,0.34084644804621866,0.0,0.95,0.35878573478549336,interior,A2780cis,joint_ic_effect_two_population,independent_diagnostic
k_kill_20k,0.05987873842674823,0.0,4.0,0.014969684606687057,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,independent_diagnostic
lambda_20k,1.7208986890849985e-12,0.0,5.0,3.441797378169997e-13,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,independent_diagnostic
k_kill_30k,0.08957433898797287,0.0,4.0,0.02239358474699322,interior,A2780cis,joint_time_decay_dose_scaled,independent_diagnostic
lambda_30k,1.2731322806380089e-8,0.0,5.0,2.546264561276018e-9,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,independent_diagnostic
