model,parameter,environments_fit,value_mean,value_sd,value_min,value_max,observed_span,coefficient_of_variation,lower_bound,upper_bound,bound_range_fraction,minimum_boundary_margin_fraction,near_optimization_bound,stability_class
joint_anchored_hill_kill,ec50_uM,2,3.3856465726612512,1.1880581428116788,2.5455626034352172,4.225730541887285,1.6801679384520676,0.35091026700929934,0.001,10.0,0.16803359720492725,0.2544817085143732,false,moderate
joint_anchored_hill_kill,emax,2,2.9999244488664845,9.586209974143202e-5,2.9998566641256987,2.9999922336072706,0.00013556948157189552,3.1954837988554455e-5,0.0,3.0,4.518982719063184e-5,2.5887975764563955e-6,true,tight
joint_anchored_hill_kill,hill_n,2,2.63369810277318,0.7099626806690416,2.1316786768827214,3.1357175286636387,1.0040388517809173,0.26956874059387403,0.1,6.0,0.17017607657303682,0.34435231811571543,false,moderate
joint_anchored_linear_kill,k_kill,2,0.2551295223085385,0.27824631790500975,0.058379664077718246,0.4518793805393588,0.3934997164616405,1.0906080777610485,0.0,8.0,0.04918746455770506,0.007297458009714781,true,tight
joint_ic_effect_hill_ramp,ec50_effect,2,0.999999364856937,8.398489385906855e-7,0.9999987709940573,0.9999999587198166,1.187725759299596e-6,8.398494720152517e-7,0.05,1.0,1.2502376413679958e-6,4.3452824613341906e-8,true,tight
joint_ic_effect_hill_ramp,emax,2,3.8847839145735303,1.5771534762553001,2.769567996541471,4.99999983260559,2.2304318360641187,0.4059822916633033,0.0,5.0,0.44608636721282374,3.3478882066617646e-8,true,broad
joint_ic_effect_hill_ramp,hill_n,2,3.0017793064369265,1.056274325034074,2.2548805684120894,3.7486780444617636,1.4937974760496742,0.351882739270349,0.2,12.0,0.12659300644488763,0.17414242105187197,false,moderate
joint_ic_effect_hill_ramp,lambda,2,0.187446207145332,0.245840569878389,0.013610673093557847,0.36128174119710615,0.3476710681035483,1.3115259765580762,0.01,5.0,0.06967356074219405,0.0007235817822761216,true,tight
joint_ic_effect_hill_ramp_onset,ec50_effect,2,0.7790537190230478,0.31246507798760453,0.5581075434940292,0.9999998945520664,0.44189235105803715,0.4010828398065326,0.05,1.0,0.4651498432189865,1.1099782484959663e-7,true,broad
joint_ic_effect_hill_ramp_onset,emax,2,1.47634560683808,1.8288864730426824,0.18312757972925137,2.7695636339469085,2.586436054217657,1.2387929117489274,0.0,5.0,0.5172872108435314,0.03662551594585027,true,broad
