cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_pct,lower_bound,upper_bound,bound_position,parameter_scope
A2780Naive,joint_ic_effect_two_population,shared,20k,emax_tolerant,1.1471056326349574,1.1471056326349574,0.0,0.0,3.0,0.38236854421165245,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,lambda,0.9079690496306285,0.9079690496306285,0.0,0.01,5.0,0.1799537173608474,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,t_onset,2.794356797078004,2.794356797078004,0.0,0.0,7.0,0.39919382815400056,shared
A2780Naive,joint_ic_effect_two_population,shared,20k,f_tolerant0,0.20507639906876723,0.20507639906876723,0.0,0.0,0.95,0.2158698937565971,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,emax_sensitive,1.1470330698265805,1.1470330698265805,0.0,0.0,5.0,0.2294066139653161,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,emax_tolerant,1.1471056326349574,1.1471056326349574,0.0,0.0,3.0,0.38236854421165245,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,lambda,0.9079690496306285,0.9079690496306285,0.0,0.01,5.0,0.1799537173608474,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,t_onset,2.794356797078004,2.794356797078004,0.0,0.0,7.0,0.39919382815400056,shared
A2780Naive,joint_ic_effect_two_population,shared,30k,f_tolerant0,0.20507639906876723,0.20507639906876723,0.0,0.0,0.95,0.2158698937565971,shared
A2780Naive,joint_time_decay_dose_scaled,shared,20k,k_kill,0.45374285532292646,0.45374285532292646,0.0,0.0,4.0,0.11343571383073162,shared
A2780Naive,joint_time_decay_dose_scaled,shared,20k,lambda,8.582269901950681e-11,8.582269901950681e-11,0.0,0.0,5.0,1.7164539803901364e-11,shared
A2780Naive,joint_time_decay_dose_scaled,shared,30k,k_kill,0.45374285532292646,0.45374285532292646,0.0,0.0,4.0,0.11343571383073162,shared
A2780Naive,joint_time_decay_dose_scaled,shared,30k,lambda,8.582269901950681e-11,8.582269901950681e-11,0.0,0.0,5.0,1.7164539803901364e-11,shared
A2780Naive,joint_anchored_hill_kill,partial_5pct,20k,emax,2.8884059758132516,3.032602098672612,4.992238766531454,0.0,3.0,1.010867366224204,density_partial_5pct
A2780Naive,joint_anchored_hill_kill,partial_5pct,20k,ec50_uM,2.6381220093679523,2.6381220093679523,0.0,0.001,10.0,0.26373857479427465,partial_5pct
A2780Naive,joint_anchored_hill_kill,partial_5pct,20k,hill_n,1.955329072135153,1.955329072135153,0.0,0.1,6.0,0.31446255459917843,partial_5pct
A2780Naive,joint_anchored_hill_kill,partial_5pct,30k,emax,2.8884059758132516,2.7510661833167744,-4.754864573973472,0.0,3.0,0.9170220611055915,density_partial_5pct
A2780Naive,joint_anchored_hill_kill,partial_5pct,30k,ec50_uM,2.6381220093679523,2.6381220093679523,0.0,0.001,10.0,0.26373857479427465,partial_5pct
A2780Naive,joint_anchored_hill_kill,partial_5pct,30k,hill_n,1.955329072135153,1.955329072135153,0.0,0.1,6.0,0.31446255459917843,partial_5pct
A2780Naive,joint_anchored_linear_kill,partial_5pct,20k,k_kill,0.44731900642743166,0.46968495491403056,4.999999589829041,0.0,8.0,0.05871061936425382,density_partial_5pct
A2780Naive,joint_anchored_linear_kill,partial_5pct,30k,k_kill,0.44731900642743166,0.4260181030236517,-4.761904389867599,0.0,8.0,0.05325226287795646,density_partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,20k,emax,4.974385886334477,5.222850297822475,4.9948760945662585,0.0,5.0,1.0445700595644951,density_partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,20k,ec50_effect,0.9995222135880782,0.9995222135880782,0.0,0.05,1.0,0.9994970669348192,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,20k,hill_n,2.0389760659133245,2.0389760659133245,0.0,0.2,12.0,0.1558454293146885,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,20k,lambda,0.08468616162960856,0.08468616162960856,0.0,0.01,5.0,0.014967166659240192,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,30k,emax,4.974385886334477,4.737741565459034,-4.757257001825021,0.0,5.0,0.9475483130918068,density_partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,30k,ec50_effect,0.9995222135880782,0.9995222135880782,0.0,0.05,1.0,0.9994970669348192,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,30k,hill_n,2.0389760659133245,2.0389760659133245,0.0,0.2,12.0,0.1558454293146885,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp,partial_5pct,30k,lambda,0.08468616162960856,0.08468616162960856,0.0,0.01,5.0,0.014967166659240192,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,20k,emax,4.903809929873705,5.149000426367343,4.99999999999905,0.0,5.0,1.0298000852734686,density_partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,20k,ec50_effect,1.6605238110330331,1.6605238110330331,0.0,0.05,1.0,1.695288222140035,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,20k,hill_n,1.7600589135382336,1.7600589135382336,0.0,0.2,12.0,0.13220838250324013,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,20k,lambda,0.8738329954496387,0.8738329954496387,0.0,0.01,5.0,0.17311282473940653,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,20k,t_onset,2.7951914536420643,2.7951914536420643,0.0,0.0,7.0,0.3993130648060092,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,30k,emax,4.903809929873705,4.670295171308332,-4.761904761903912,0.0,5.0,0.9340590342616665,density_partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,30k,ec50_effect,1.6605238110330331,1.6605238110330331,0.0,0.05,1.0,1.695288222140035,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,30k,hill_n,1.7600589135382336,1.7600589135382336,0.0,0.2,12.0,0.13220838250324013,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,30k,lambda,0.8738329954496387,0.8738329954496387,0.0,0.01,5.0,0.17311282473940653,partial_5pct
A2780Naive,joint_ic_effect_hill_ramp_onset,partial_5pct,30k,t_onset,2.7951914536420643,2.7951914536420643,0.0,0.0,7.0,0.3993130648060092,partial_5pct
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,20k,emax,1.865511362269561,1.958786848749043,4.999995624041875,0.0,4.0,0.48969671218726074,density_partial_5pct
