model,environments_fit,complete_environment_coverage,total_bic,mean_bic,mean_environment_rank,environment_wins,sum_environment_delta_bic,worst_environment_delta_bic,delta_total_bic,relative_support,parameters_assessed,tight_parameters,moderate_parameters,broad_parameters,parameters_near_bound,maximum_bound_range_fraction,median_parameter_cv
joint_ic_effect_hill_ramp,2,true,-706.6510354066938,-353.3255177033469,2.0,1,18.25173040140362,18.25173040140362,0.0,substantial,4,2,1,1,3,0.44608636721282374,0.37893251546682616
joint_ic_effect_hill_ramp_onset,2,true,-699.8437312571868,-349.9218656285934,4.0,0,25.059034550910553,20.628216260144086,6.80730414950699,weak,5,2,0,3,5,0.8163891747778448,0.9632698396713543
joint_ic_effect_transit_death,2,true,-677.8052277095173,-338.90261385475867,2.0,1,47.09753809858017,47.09753809858017,28.845807697176497,little,4,0,2,2,3,0.8854878788823568,1.1201174005245091
joint_ic_effect_two_population,2,true,-662.9294632236405,-331.46473161182024,3.0,0,61.973302584456974,54.180392086478946,43.721572183053354,little,5,1,1,3,5,0.9260498419776961,1.0750277717452343
joint_anchored_hill_kill,2,true,-625.4871579102628,-312.7435789551314,5.0,0,99.41560789783472,79.03704546586181,81.16387749643104,little,3,1,2,0,1,0.17017607657303682,0.26956874059387403
joint_ic_effect_logistic_hill,2,true,-615.2995413273558,-307.6497706636779,6.5,0,109.60322448074166,87.95760265841406,91.35149407933807,little,3,1,1,1,1,0.3822472006638509,0.4558546379141206
joint_anchored_linear_kill,2,true,-598.2560554527223,-299.12802772636115,5.5,0,126.64671035537515,106.47666099718202,108.39497995397153,little,1,1,0,0,1,0.04918746455770506,1.0906080777610485
joint_time_decay_dose_scaled,2,true,-589.3944215933641,-294.69721079668204,8.0,0,135.50834421473337,110.90747781446044,117.25661381332975,little,2,2,0,0,2,0.09837410455172586,1.2030489028962212
