model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_two_population,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-245.6284806516502,1.9556754795192257e7,2.6622989842670153,10,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,-0.028164296671354117,eventual_extinction,"(names = [:emax_sensitive_20k, :emax_tolerant_20k, :lambda_20k, :t_onset_20k, :f_tolerant0_20k, :emax_sensitive_30k, :emax_tolerant_30k, :lambda_30k, :t_onset_30k, :f_tolerant0_30k], values = [1.1990736376174636, 1.1054450302119907, 0.9532271966765539, 2.740410585811323, 0.12814783803851548, 1.3173083635845482, 1.07540905130498, 0.4579523291904555, 2.525231177581297, 0.3979915024487964], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-228.84252065153296,1.5361323999776887e7,3.612928002171974,8,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,early logistic growth followed by accumulating kill,,-0.4693986563417929,eventual_extinction,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k], values = [1.8777239715577632, 0.5066142959020404, 2.491304066545124, 0.12873471843842735, 1.978861661872705, 0.5087572876801207, 3.6040146817039833, 0.08724115206840835], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,shared,true,A2780Naive,20k/30k,NaN,-176.21488847147432,1.7878662296477795e7,8.800222897411535,3,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax, :ec50_uM, :hill_n], values = [1.909028079065294, 1.8605058696846906, 2.2346127595558767], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,shared,true,A2780Naive,20k/30k,NaN,-174.64241014388185,1.948904607783594e7,8.966514526627085,3,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,logistic survival below threshold and extinction above it,,0.19278519736676403,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n], values = [1.9107875040963267, 0.9999994123034278, 1.8878264422895992], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,partial_5pct,true,A2780Naive,20k/30k,NaN,-173.8662700741712,1.6845355049255565e7,8.584763742818474,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax, :ec50_uM, :hill_n, :log_contrast_effect], values = [2.8884059758132516, 2.6381220093679523, 1.955329072135153, -0.0487162449282479], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,partial_5pct,true,A2780Naive,20k/30k,NaN,-172.34756649983944,1.8346833804738495e7,8.741386177727614,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,logistic survival below threshold and extinction above it,,0.16998537599339159,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :log_contrast_effect], values = [1.865511362269561, 0.9999999999999112, 1.8484736642561366, -0.04879012249363949], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,shared,true,A2780Naive,20k/30k,NaN,-171.9779539494622,3.1028497194611702e7,10.285265994809874,1,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill], values = [0.45374114594215126], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-170.76566864357608,2.846570819096411e7,9.898631686134195,2,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill_20k, :k_kill_30k], values = [0.4740847012467408, 0.41993370576391265], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,partial_5pct,true,A2780Naive,20k/30k,NaN,-170.64002426577582,2.8735848907109592e7,9.913448805552044,2,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill, :log_contrast_effect], values = [0.44731900642743166, -0.04879016026304184], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,shared,true,A2780Naive,20k/30k,NaN,-167.54713712798932,3.1028777027780976e7,10.285265997580717,2,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,waning drug effect and regrowth,,0.8949392852558102,survival_or_regrowth,"(names = [:k_kill, :lambda], values = [0.45374285532292646, 8.582269901950681e-11], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
