model,total_bic,delta_total_bic,mean_environment_rank,environment_wins,relative_support,A2780cis | 20k/30k,A2780Naive | 20k/30k
joint_ic_effect_hill_ramp,-706.6510354066938,0.0,2.0,1,substantial,-376.1874641497315,-330.4635712569623
joint_ic_effect_hill_ramp_onset,-699.8437312571868,6.80730414950699,4.0,0,weak,-373.81097829099105,-326.03275296619586
joint_ic_effect_transit_death,-677.8052277095173,28.845807697176497,2.0,1,little,-394.43919455113513,-283.36603315838215
joint_ic_effect_two_population,-662.9294632236405,43.721572183053354,3.0,0,little,-386.6462840531571,-276.2831791704834
joint_anchored_hill_kill,-625.4871579102628,81.16387749643104,5.0,0,little,-374.0606321191622,-251.42652579110052
joint_ic_effect_logistic_hill,-615.2995413273558,91.35149407933807,6.5,0,little,-372.79357272880753,-242.50596859854826
joint_anchored_linear_kill,-598.2560554527223,108.39497995397153,5.5,0,little,-374.269145192942,-223.9869102597803
joint_time_decay_dose_scaled,-589.3944215933641,117.25661381332975,8.0,0,little,-369.8383281508622,-219.5560934425019
