treated_cell_line,density,untreated_growth_family,untreated_r,untreated_K,untreated_shape_parameter,untreated_shape_value,untreated_theta,untreated_lag_time,untreated_baranyi_q0,untreated_adaptation_rate,baseline_source,inheritance_mode
A2780Naive,20k,baranyi_theta_logistic_growth,2.0583042351862697,4102.6812640387225,theta,0.3078701226100252,0.3078701226100252,NaN,0.3917239510595033,NaN,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\untreated_group_baselines.csv,exact_fixed_family_and_density_specific_parameters
A2780Naive,30k,baranyi_theta_logistic_growth,1.8898439722620546,4033.277431411544,theta,0.3078701226100252,0.3078701226100252,NaN,0.3917239510595033,NaN,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\untreated_group_baselines.csv,exact_fixed_family_and_density_specific_parameters
A2780cis,20k,adaptation_theta_logistic_growth,1.3033401811989338,3819.019651355322,theta,0.9738231812965199,0.9738231812965199,NaN,NaN,0.21127164965197726,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\untreated_group_baselines.csv,exact_fixed_family_and_density_specific_parameters
A2780cis,30k,adaptation_theta_logistic_growth,1.3033401811989338,3819.019651355322,theta,0.9738231812965199,0.9738231812965199,NaN,NaN,0.21127164965197726,C:\Users\elbak\.codex\worktrees\8e87\GrowthParameterEstimation.jl\_cgd_adaptive_redesign\Modeling_Approaches\02_mechanical_automatic_package\outputs\csv\monoculture_untreated\untreated_group_baselines.csv,exact_fixed_family_and_density_specific_parameters
