parameter,direction,original_bound,candidate_bound,original_bic,candidate_bic,bic_improvement,estimate,bound_margin_fraction,accepted
naive_emax,upper,5.0,7.5,-606.0552585092465,-607.2413233241261,1.1860648148796145,6.171413221272489,0.17714490383033485,false
naive_emax,upper,5.0,10.0,-606.0552585092465,-606.4373390966006,0.3820805873540394,5.301525591693777,0.46984744083062224,false
cis_emax_sensitive,upper,5.0,7.5,-606.0552585092465,-606.5445198665195,0.48926135727299425,7.128331337845466,0.04955582162060459,false
cis_emax_sensitive,upper,5.0,10.0,-606.0552585092465,-606.362713333383,0.30745482413647096,5.723782057348386,0.42762179426516134,false
cis_t_onset,upper,7.0,10.0,-606.0552585092465,-606.1727195171829,0.1174610079364129,6.9063780286529814,0.30936219713470187,false
cis_t_onset,upper,7.0,14.0,-606.0552585092465,-606.1716082685408,0.11634975929428037,6.906098568628139,0.50670724509799,false
