model,bic,scaled_ssr,ssr,n_parameters,n_points,naive_onset,cis_onset,naive_lambda,cis_lambda,cis_activation_mode,best_start_index,boundary_issue,params,delta_bic,rank
cis_onset_only,-606.0552585092465,3.25761248679547,2.590083389378561e7,11,168,2.4382683603313136,6.908388471679879,0.5159219395878215,NaN,step,1,true,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_t_onset], values = [4.999998085342592, 1.2223026295256232, 2.3480482652557044, 0.5159219395878215, -0.04879016384417571, 4.999815568630285, 0.319310740624452, 0.5788600219760291, 0.023465443087366575, 2.4382683603313136, 6.908388471679879], package_api = ""GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds_two_sided"")",0.0,1
independent_onset_gradual,-600.6943906097125,3.2622094246330415,2.595873573536028e7,12,168,2.4408438831803214,6.767175089671602,0.5159724370629455,4.957605614637486,ramp,1,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_lambda, :cis_t_onset], values = [4.9994481799756425, 1.2230614813479597, 2.346696146969398, 0.5159724370629455, -0.04878883445432254, 4.998681707270614, 0.317631085733404, 0.572038566165678, 0.0027249685554607897, 2.4408438831803214, 4.957605614637486, 6.767175089671602], package_api = ""GrowthParameterEstimation.run_joint_multistart/run_joint_fit"")",5.360867899534014,2
shared_onset_gradual,-590.1983554149566,3.5800647577148004,3.046453675102564e7,11,168,2.5133125784750563,2.5133125784750563,0.5378052618924715,0.04980458367275558,ramp,2,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :shared_t_onset, :cis_lambda], values = [4.998719692597203, 1.1973179420648623, 2.426894628161281, 0.5378052618924715, -0.04878856947657749, 3.177570370225128, 0.9358002516971771, 0.6808115896024005, -0.0001687128512330785, 2.5133125784750563, 0.04980458367275558], package_api = ""GrowthParameterEstimation.run_joint_multistart/run_joint_fit"")",15.856903094289919,3
partial_onset_0_5day,-585.2290284027747,3.5767709741007194,2.9903377489056814e7,12,168,2.6346730312024427,2.6360560861988747,0.6139728607043039,0.05021965235626633,ramp,2,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :onset_center, :onset_delta, :cis_lambda], values = [4.990242034943262, 1.234531581724208, 2.335789442943881, 0.6139728607043039, -0.048775657708440015, 3.1954570157657463, 0.9294054544064259, 0.6548776646473163, -0.0007188996156721125, 2.6353645587006587, 0.0006915274982162156, 0.05021965235626633], package_api = ""GrowthParameterEstimation.run_joint_multistart/run_joint_fit"")",20.826230106471826,4
cis_gradual_only,-579.2699242428907,3.8206901526929564,3.2975666443654254e7,11,168,2.863244105648456,0.0,0.6943413877683331,0.02178171608411103,ramp,2,false,"(names = [:naive_emax, :naive_ec50_effect, :naive_hill_n, :naive_lambda, :naive_log_contrast_density, :cis_emax_sensitive, :cis_emax_tolerant, :cis_f_tolerant0, :cis_log_contrast_density, :naive_t_onset, :cis_lambda], values = [4.9224751076307705, 1.1654214073452243, 2.514683795668088, 0.6943413877683331, -0.04733594087586772, 4.997664122450133, 1.2618544715053184, 0.6574513118956501, -9.453930924024218e-5, 2.863244105648456, 0.02178171608411103], package_api = ""GrowthParameterEstimation.run_joint_multistart/run_joint_fit"")",26.78533426635579,5
