model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,ic_mapping,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_two_population,shared,true,A2780Naive,20k/30k,NaN,-237.22719554735207,2.2286143517159984e7,3.8303049573372894,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.9129946669325395,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [1.3715435570482102, 1.376282661500659, 0.5186065905145145, 2.378928129702829, 0.0006260216869955265], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-237.12042649736435,1.7379512058176856e7,2.9460826961397326,10,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,delayed switch from logistic growth to extinction,,0.8717595716939108,survival_or_regrowth,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :t_onset_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k, :t_onset_30k], values = [1.5306021142573496, 0.4921284301644017, 2.938271237465058, 0.5112013180487587, 2.103027444597596, 1.3466393623493431, 0.5489161657889716, 5.8231019437041045, 0.42109749914807476, 2.6191485699417028], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-227.97631701900792,2.0507811127613895e7,3.2848954812818407,10,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,0.8427222768983906,survival_or_regrowth,"(names = [:emax_sensitive_20k, :emax_tolerant_20k, :lambda_20k, :t_onset_20k, :f_tolerant0_20k, :emax_sensitive_30k, :emax_tolerant_30k, :lambda_30k, :t_onset_30k, :f_tolerant0_30k], values = [1.4928960702489782, 1.4556969130152524, 0.4551018303896147, 2.0591091446815195, 0.09506000814003478, 1.2163627275043656, 1.2452856955551856, 0.5007086079397923, 2.722783997821715, 0.7647235608528618], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-224.51297655558878,1.9913381411441084e7,3.804028801964568,8,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,early logistic growth followed by accumulating kill,,0.12248615007860097,survival_or_regrowth,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :lambda_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k, :lambda_30k], values = [2.647670518586459, 0.536490306914367, 2.9860921599391523, 0.1035947286817776, 2.3613585183835326, 0.5078354135760155, 5.663823220906174, 0.06656772665569949], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-215.3179970354082,1.9527507428361416e7,3.8191547174868523,10,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.9424856313069323,survival_or_regrowth,"(names = [:emax_20k, :ec50_bound_20k, :hill_n_20k, :k_efflux_20k, :k_repair_20k, :emax_30k, :ec50_bound_30k, :hill_n_30k, :k_efflux_30k, :k_repair_30k], values = [1.95029861138135, 3.1424699269680056, 2.234507259551393, 1.0803100472554672, 0.38021566894516984, 1.3686742822012277, 3.561687171363756, 2.725154887199585, 0.34401668977294353, 0.8830314703062546], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,shared,true,A2780Naive,20k/30k,NaN,-179.53024785537454,1.719363354123543e7,8.459655792465714,3,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax, :ec50_uM, :hill_n], values = [2.9999966241565805, 1.9507941038664198, 2.7856135599016882], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,partial_5pct,true,A2780Naive,20k/30k,NaN,-178.12557146493015,1.59617216917038e7,8.16031691029859,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax, :ec50_uM, :hill_n, :log_contrast_effect], values = [2.99999999999972, 1.9899046766083635, 2.7115690791608085, -0.048790138455640154], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,shared,true,A2780Naive,20k/30k,NaN,-177.00930243201154,1.969537924366111e7,8.717388781040023,3,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,logistic survival below threshold and extinction above it,,1.136505381452844,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n], values = [2.7547781391282116, 0.9999999257851607, 2.38934279614457], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,partial_5pct,true,A2780Naive,20k/30k,NaN,-175.60942478596513,1.8344459628914636e7,8.408449830146118,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,logistic survival below threshold and extinction above it,,1.112292021061702,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :log_contrast_effect], values = [2.6637929308334263, 0.9999999173822397, 2.3331659424228044, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-170.70354521041338,1.4886025719337383e7,8.021655504722006,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax_20k, :ec50_uM_20k, :hill_n_20k, :emax_30k, :ec50_uM_30k, :hill_n_30k], values = [1.5504987346885015, 1.2498977674454712, 3.397623790527529, 1.4645771084766175, 1.3918340488095764, 3.56021597028461], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-168.62934590347854,1.680079373722961e7,8.222198835259471,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,logistic survival below threshold and extinction above it,,1.0797477889149794,survival_or_regrowth,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k], values = [2.3244532823645034, 0.8643144009607082, 2.2467910823150463, 2.3648036410488853, 0.9613376720138598, 2.56727062464195], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-163.87785628144115,3.827337008746253e7,10.744503272149764,2,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill_20k, :k_kill_30k], values = [0.6061902525806191, 0.4642757162395777], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,shared,true,A2780Naive,20k/30k,NaN,-161.77526847342415,4.3742836662805885e7,11.613554723183421,1,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill], values = [0.5501290561064968], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,partial_5pct,true,A2780Naive,20k/30k,NaN,-161.17392857302556,4.087899420893935e7,11.095991487663746,2,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill, :log_contrast_effect], values = [0.5416118689785976, -0.04879016343651036], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,shared,true,A2780Naive,20k/30k,NaN,-157.34445165002197,4.3743193296224415e7,11.613554726578851,2,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,waning drug effect and regrowth,,2.0583042351862697,survival_or_regrowth,"(names = [:k_kill, :lambda], values = [0.5501313651761373, 3.741236547723116e-11], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,partial_5pct,true,A2780Naive,20k/30k,NaN,-156.74311167914786,4.0878677460845634e7,11.095991500217329,3,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,waning drug effect and regrowth,,2.0583042351862697,survival_or_regrowth,"(names = [:k_kill, :lambda, :log_contrast_effect], values = [0.5416097412551321, 4.678811484419649e-13, -0.048790161695668105], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,independent_diagnostic,false,A2780Naive,20k/30k,NaN,-155.01622240965827,3.827332391807213e7,10.74450330720962,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,baranyi_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,waning drug effect and regrowth,,2.0583042351862697,survival_or_regrowth,"(names = [:k_kill_20k, :lambda_20k, :k_kill_30k, :lambda_30k], values = [0.6061921390565509, 3.812863117293217e-10, 0.4642736439089859, 7.734442081189664e-10], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,shared,true,A2780cis,20k/30k,NaN,-370.75497675445547,1.226994479683555e7,0.8237203394432043,4,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.6706550101283905,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear], values = [0.7576600196790699, 4.9996918429165325, 5.755485951207974, 0.42180320626046613], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,shared,true,A2780cis,20k/30k,NaN,-369.535495421195,1.1739984967780102e7,0.7928237140276427,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,1.0375554087430334,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0], values = [4.9959046551164965, 0.3182854682504986, 4.967717502061573, 6.763684629082072, 0.5721356652457709], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_transit_death,partial_5pct,true,A2780cis,20k/30k,NaN,-368.2846760604617,1.204600922457774e7,0.8047177549614452,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"delayed damage transit; EC50=0.5, Hill n=4, visible damaged fraction=0.5",,0.6908556678839292,survival_or_regrowth,"(names = [:emax, :lambda, :t_onset, :k_clear, :log_contrast_effect], values = [0.7701305245430076, 4.999999999999534, 5.741056121808119, 0.40430266337564497, 0.04877453132649963], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_two_population,partial_5pct,true,A2780cis,20k/30k,NaN,-365.3850316250063,1.170549808912447e7,0.7901820473225744,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,sensitive/tolerant populations; EC50=0.5 and Hill n=4 fixed,,1.0413255373361017,survival_or_regrowth,"(names = [:emax_sensitive, :emax_tolerant, :lambda, :t_onset, :f_tolerant0, :log_contrast_effect], values = [4.995282501851306, 0.31944886054496935, 4.999999999999534, 6.762796106096191, 0.5753284241773885, 0.01793498147538755], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,shared,true,A2780cis,20k/30k,NaN,-363.85173359616346,1.2412784881291814e7,0.8483257706811037,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,0.976256148546421,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [0.916603704334558, 0.9998831536057072, 2.048547361317873, 4.999999999999534, 5.703985624501075], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780cis,20k/30k,NaN,-359.9566014685069,1.236095423115758e7,0.8429330424027106,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,0.9872000131350553,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [0.8837027993284812, 0.9586622724829821, 2.1260134353623563, 4.999999999999534, 5.672847584304807, 0.04019308903292877], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,shared,true,A2780cis,20k/30k,NaN,-355.69582707034243,1.3433980135063514e7,0.9348245371409867,5,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.9712364096458312,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [0.49788858210837306, 4.999985089999775, 3.9151593993490894, 0.49630707066230056, 0.49605667236219675], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,partial_5pct,true,A2780cis,20k/30k,NaN,-351.34779645232715,1.3424113832388699e7,0.9339036748841005,6,84,2,3,0.67=IC25;1.0=IC50;1.47=IC75,densities=20k/30k;doses=0.67/1.0/1.47,adaptation_theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,0.9729470797630346,survival_or_regrowth,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair, :log_contrast_effect], values = [0.4937133662417149, 4.999999999966793, 3.929083368393503, 0.5094692949810089, 0.4810919931946519, 0.003348696950989473], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
