cell_line,density,best_model,pooling_mode,r,K,shape_parameter,shape_value,theta,lag_time,baranyi_q0,adaptation_rate,bic,ssr,scaled_ssr,inheritance_allowed,independent_bic_improvement
A2780Naive,20k,baranyi_theta_logistic_growth,partial_5pct,2.0583042351862697,4102.6812640387225,theta,0.3078701226100252,0.3078701226100252,NaN,0.3917239510595033,NaN,-177.5588224995718,423284.1635631907,0.024155919107992897,true,-2.324237635146403
A2780Naive,30k,baranyi_theta_logistic_growth,partial_5pct,1.8898439722620546,4033.277431411544,theta,0.3078701226100252,0.3078701226100252,NaN,0.3917239510595033,NaN,-177.5588224995718,423284.1635631907,0.024155919107992897,true,-2.324237635146403
A2780cis,20k,adaptation_theta_logistic_growth,shared,1.3033401811989338,3819.019651355322,theta,0.9738231812965199,0.9738231812965199,NaN,NaN,0.21127164965197726,-186.40564973620323,1.067310195491836e6,0.06125819520106276,true,-9.767980813079532
A2780cis,30k,adaptation_theta_logistic_growth,shared,1.3033401811989338,3819.019651355322,theta,0.9738231812965199,0.9738231812965199,NaN,NaN,0.21127164965197726,-186.40564973620323,1.067310195491836e6,0.06125819520106276,true,-9.767980813079532
