model,parameter,environments_fit,value_mean,value_sd,value_min,value_max,observed_span,coefficient_of_variation,lower_bound,upper_bound,bound_range_fraction,minimum_boundary_margin_fraction,near_optimization_bound,stability_class
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,K_20k,3,4008.616849854607,24.170623436071093,3982.3833184281198,4029.984094884834,47.60077645671436,0.0060296666759128556,3160.249653,12640.998612,0.005020782288674284,0.08671610955879966,false,tight
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,K_30k,3,3991.735753529729,35.752140624337606,3951.938080047009,4021.138507792012,69.20042774500325,0.008956539919438166,3160.249653,12640.998612,0.0072990465251494534,0.0835048402263057,false,tight
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,adaptation_rate_20k,3,2.5083086417330445,0.9554142551058763,1.4196465058574246,3.20732475837488,1.7876782525174555,0.3808997980590459,0.01,5.0,0.35825215481311734,0.2824942897509869,false,broad
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,adaptation_rate_30k,3,1.6248201599726617,0.5784069373797378,1.1199947274701412,2.255938629062442,1.135943901592301,0.3559821275170969,0.01,5.0,0.2276440684553709,0.2224438331603489,false,moderate
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,r_20k,3,1.127477594499899,0.25566965687743004,0.8839300282292453,1.3937519335876303,0.509821905358385,0.2267625167228571,0.0001,2.0,0.2549236988641357,0.30313919016569313,false,broad
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,r_30k,3,1.2902780718331501,0.2580657955090414,0.9944812367965821,1.4694195541575057,0.4749383173609236,0.20000789065755176,0.0001,2.0,0.23748103273209842,0.26530348809565196,false,moderate
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,theta_20k,3,0.926114056825098,0.45278355338806514,0.5870974894022206,1.4403160763054508,0.8532185869032302,0.4889069008846455,0.1,8.0,0.10800235277256078,0.061657910050914005,false,moderate
A2780Naive|adaptation_theta_logistic_growth|independent_diagnostic,theta_30k,3,0.5868438609568111,0.2477454166060638,0.42750408425855857,0.8722706887287072,0.4447666044701486,0.42216581460378727,0.1,8.0,0.05629957018609476,0.041456213197285895,true,tight
A2780Naive|adaptation_theta_logistic_growth|partial_5pct,K,3,4045.9203401444033,3.7256158499059473,4042.3479308895808,4049.7822693556923,7.434338466111512,0.0009208327244952569,3160.249653,12640.998612,0.0007841509672138459,0.09304099092848693,false,tight
A2780Naive|adaptation_theta_logistic_growth|partial_5pct,adaptation_rate,3,1.798558431326957,0.4752489903408651,1.4628413727719543,2.3423586386163464,0.8795172658443922,0.26423883820679184,0.01,5.0,0.17625596509907657,0.29115057570580244,false,moderate
