cell_line,model,pooling_mode,parameter,original_upper,candidate_upper,original_bic,candidate_bic,bic_improvement,estimate,upper_margin_fraction,accepted
A2780Naive,lagged_theta_logistic_growth,shared,r,2.0,3.0,-170.4117674303516,-171.69956715757453,1.2877997272229322,2.882483184510358,0.039173577615801265,false
A2780Naive,lagged_theta_logistic_growth,shared,r,2.0,4.0,-170.4117674303516,-172.17320494769078,1.761437517339175,3.6792342017402366,0.08019345440130088,false
A2780Naive,baranyi_theta_logistic_growth,shared,r,2.0,3.0,-170.87088978654353,-172.29332521735472,1.4224354308111913,2.8631519820493274,0.045617526567776456,false
A2780Naive,baranyi_theta_logistic_growth,shared,r,2.0,4.0,-170.87088978654353,-172.81267984945723,1.9417900629136966,3.748527061060579,0.06286980648001726,false
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,r,2.0,3.0,-177.5588224995718,-177.78445978672733,0.22563728715553566,2.2297298072875917,0.2567652897471277,false
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,r,2.0,4.0,-177.5588224995718,-177.74588178277256,0.18705928320076737,2.1781308212428807,0.45547868165632127,false
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,q0_20k,10.0,15.0,-165.7261439375955,-166.51093244509454,0.7847885074990302,14.759858930707562,0.016009511349571525,false
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,q0_20k,10.0,20.0,-165.7261439375955,-166.3054943371318,0.5793503995362812,11.205243724962395,0.4397400124519425,false
A2780Naive,adaptation_theta_logistic_growth,shared,r,2.0,3.0,-170.7827393052122,-172.4667260266444,1.6839867214322055,2.9158676899341134,0.02804503818990187,false
A2780Naive,adaptation_theta_logistic_growth,shared,r,2.0,4.0,-170.7827393052122,-173.23286205192485,2.450122746712651,3.8118647461418016,0.04703498933928309,false
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,r,2.0,3.0,-177.1821757128049,-177.80987651399238,0.6277008011874727,2.3970736282740766,0.20098215664719607,false
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,r,2.0,4.0,-177.1821757128049,-177.8173609170602,0.6351852042552935,2.4453425306068377,0.3886740842003956,false
A2780Naive,allee_growth,shared,r,2.0,3.0,-50.426318901593845,-50.426318901593845,0.0,1.7091092933706369,0.430311245917985,false
A2780Naive,allee_growth,shared,r,2.0,4.0,-50.426318901593845,-50.426318901593845,0.0,1.9684825262249128,0.5078920657454155,false
