cell_line,winning_model,winning_pooling_mode,winning_bic,best_independent_bic,independent_bic_improvement,inadequacy_delta,inadequate_pooling,inheritance_allowed
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,-177.5588224995718,-175.2345848644254,-2.324237635146403,10.0,false,true
A2780cis,adaptation_theta_logistic_growth,shared,-186.40564973620323,-176.6376689231237,-9.767980813079532,10.0,false,true
