model,pooling_mode,eligible_for_inheritance,diagnostic_model,bic,ssr,scaled_ssr,params,cell_line,density,mix,n_densities,n_points,parameter_count,boundary_issue,accepted_boundary_expansions,package_api
gompertz_growth,independent_diagnostic,false,false,-161.43012679283413,957246.5116959831,0.05452007062618313,"[0.4074405219836674, 4289.719163289626, 0.36924383296659113, 4266.715719514934]",A2780Naive,20k/30k,,2,28,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,partial_5pct,true,false,-161.4299081444386,957253.9884769008,0.05452049636805856,"[0.3878937028341956, 4278.136693366976, -0.04877819859524152, -0.002875354463666435]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,independent_diagnostic,false,true,-90.6499753632618,9.420570923305862e6,0.5383004413334914,"[0.7399681196843032, 3742.2497536306073, 63.250166576823624, 1.0375830539150501, 3160.2497144024455, 98.46522656057446]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,partial_5pct,false,true,-78.7168770741911,1.6225937072846904e7,0.9285332876248084,"[0.3070313716587364, 3551.9457236348594, 50.51435866385639, 0.04371204886804869, -0.048055950354368424]",A2780Naive,20k/30k,,2,28,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,shared,false,true,-50.426318901593845,5.6851344313114375e7,3.235691424586319,"[1.9907003013650046, 3160.249653000887, 7.622991422933451e-5]",A2780Naive,20k/30k,,2,28,3,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,shared,true,false,-186.40564973620323,1.067310195491836e6,0.06125819520106276,"[1.3033401811989338, 3819.019651355322, 0.9738231812965199, 0.21127164965197726]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
baranyi_theta_logistic_growth,shared,true,false,-186.03680107220023,1.0796952661988735e6,0.06196837414242568,"[0.8409304462110382, 3821.135954881842, 1.2620476371285276, 0.1742509249371738]",A2780cis,20k/30k,,2,32,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,shared,true,false,-185.70416306289172,1.0909767803860137e6,0.06261589115557804,"[0.7413830717660111, 3820.3074446792393, 1.4586336200366865, 1.8205028950402544]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,shared,true,false,-181.56937165339986,1.3836236655313168e6,0.07940295440768495,"[0.48688247139575735, 3802.772131307019, 3.082890807249316]",A2780cis,20k/30k,,2,32,3,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,partial_5pct,true,false,-180.0963252951401,1.1665738362715892e6,0.06695091784788307,"[0.4806166381092475, 3796.646019881629, 3.5540722532991245, -0.033179259744015116, -0.0006331618974403305]",A2780cis,20k/30k,,2,32,5,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,partial_5pct,true,false,-179.89696676044966,1.053306064616152e6,0.06045416585471697,"[0.6529668921517607, 3812.4980597627177, 1.8624221105104828, 1.4378225186922449, -0.018681552634233146, -0.0024093127010671248]",A2780cis,20k/30k,,2,32,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
baranyi_theta_logistic_growth,partial_5pct,true,false,-179.69012495893773,1.0601478644365007e6,0.06084619550959804,"[0.7311166104756035, 3815.554421850511, 1.6009004379595477, 0.3291894386401773, -0.012345743129256459, -0.001672273334429701]",A2780cis,20k/30k,,2,32,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,partial_5pct,true,false,-179.58006541941015,1.0637890535310588e6,0.0610558278116091,"[1.017911032406407, 3818.380023962281, 1.1655567238937645, 0.29173176979715765, -0.004420039351833861, -0.0019538995696261052]",A2780cis,20k/30k,,2,32,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,independent_diagnostic,false,false,-176.6376689231237,1.16631582991119e6,0.06693610757734993,"[0.4975936722000611, 3801.208222934158, 3.4494208892404665, 0.46431236172846857, 3792.9316625065603, 3.630769757552903]",A2780cis,20k/30k,,2,32,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,independent_diagnostic,false,false,-172.97712680941171,1.0529269202964725e6,0.060432195033578884,"[0.6332174367318467, 3815.8595445611213, 2.0329657132082843, 1.229138352532734, 0.6138404813601711, 3804.2378625523106, 2.002321308899957, 1.2867680082937987]",A2780cis,20k/30k,,2,32,8,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,independent_diagnostic,false,false,-172.87290016385995,1.0563667111843424e6,0.06062934858736254,"[0.7036668497687825, 3819.835189850699, 1.7288929309359036, 0.5885355633165208, 0.7525472794861291, 3807.7108355870128, 1.5526666179958013, 0.4652535830629729]",A2780cis,20k/30k,,2,32,8,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
baranyi_theta_logistic_growth,independent_diagnostic,false,false,-172.6971988011077,1.062186132183623e6,0.06096315977090592,"[0.7651016817909807, 3826.710033735048, 1.4822291507464105, 0.28455828946031414, 0.6913188366702869, 3805.7552311000395, 1.7473102156306748, 0.4021412665387344]",A2780cis,20k/30k,,2,32,8,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,shared,true,false,-167.206820488923,2.4156212751273937e6,0.1386107364857848,"[0.6024146478938854, 3955.541892813129]",A2780cis,20k/30k,,2,32,2,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,shared,false,true,-163.7410844801572,2.4156213154650084e6,0.13861073694478585,"[0.6161166083304274, 4045.584353890138, 0.01370558400024064]",A2780cis,20k/30k,,2,32,3,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,partial_5pct,true,false,-161.05232061352743,2.357670042624836e6,0.13528574548644576,"[0.6013009413365592, 3958.367974157589, -0.016947816427555197, -0.0034052905889272525]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,independent_diagnostic,false,false,-161.05231992555375,2.3576700933326436e6,0.135285748394978,"[0.6115737110396289, 3971.923583043983, 0.5912202006918928, 3944.9603410505115]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,partial_5pct,false,true,-157.5865839579043,2.3576700982065294e6,0.135285748669142,"[0.6012933033695642, 3958.448369601156, 1.473911787877418e-9, -0.016954537919573576, -0.003372201385216163]",A2780cis,20k/30k,,2,32,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,independent_diagnostic,false,true,-154.12084930111314,2.357670006259891e6,0.13528574340141702,"[0.6310723472123275, 4098.498246748447, 0.01949805951295608, 0.6022188980611036, 4018.6228319016864, 0.011025324231949442]",A2780cis,20k/30k,,2,32,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,shared,true,false,-136.93662793879736,6.220823630573684e6,0.35695619271537177,"[0.26205914214995446, 4362.148495063146]",A2780cis,20k/30k,,2,32,2,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,independent_diagnostic,false,false,-130.13169274984907,6.196275394413298e6,0.35554747886418525,"[0.25688409496313436, 4435.635235359259, 0.26738656881534684, 4295.689717390608]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,partial_5pct,true,false,-130.13169236093185,6.196275469495615e6,0.3555474831853895,"[0.26208413824895865, 4365.155074140328, 0.020031807849062402, -0.016036495679424285]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,shared,false,true,-118.29538271788948,9.9981680693299e6,0.5735514993953352,"[0.0002374114761459196, 3551.0520765063047, 0.11606826230180112]",A2780cis,20k/30k,,2,32,3,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,independent_diagnostic,false,true,-117.34364006127353,7.443724866237421e6,0.4269542856339625,"[0.5386410102196192, 3689.497339074589, 65.27436514568917, 0.6160673867041476, 3159.0577098970875, 97.07217116369904]",A2780cis,20k/30k,,2,32,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,partial_5pct,false,true,-80.1198722620086,2.655566415993549e7,1.5226750049855977,"[0.3059711072635275, 3133.8628472508794, 59.41741393792933, -0.00696516164397247, 0.0009112411809830967]",A2780cis,20k/30k,,2,32,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
