cell_line,density,first_observed_value,fixed_u0,u0_time_day,residual_scale,nominal_density,first_observed_to_fixed_u0,u0_strategy,K,u0_over_K
A2780Naive,20k,280.6765433333333,67.0,0.0,4213.666204,20000.0,4.189202139303482,fixed_nominal_day0_67_for_20k_100_for_30k,4102.6812640387225,0.016330783623694056
A2780Naive,30k,246.85030866666668,100.0,0.0,4169.734799333333,30000.0,2.468503086666667,fixed_nominal_day0_67_for_20k_100_for_30k,4033.277431411544,0.024793732070397784
A2780cis,20k,67.71979166666667,67.0,0.0,4170.573688,20000.0,1.0107431592039802,fixed_nominal_day0_67_for_20k_100_for_30k,3819.019651355322,0.017543769374483983
A2780cis,30k,80.43985333333335,100.0,0.0,4178.483796333333,30000.0,0.8043985333333334,fixed_nominal_day0_67_for_20k_100_for_30k,3819.019651355322,0.02618473040967759
