cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780Naive,lagged_theta_logistic_growth,shared,20k,theta,0.30427501389031086,0.30427501389031086,0.0,shared_across_densities
A2780Naive,lagged_theta_logistic_growth,shared,30k,theta,0.30427501389031086,0.30427501389031086,0.0,shared_across_densities
A2780Naive,lagged_theta_logistic_growth,shared,20k,lag_time,0.6429250361729503,0.6429250361729503,0.0,shared_across_densities
A2780Naive,lagged_theta_logistic_growth,shared,30k,lag_time,0.6429250361729503,0.6429250361729503,0.0,shared_across_densities
A2780Naive,lagged_theta_logistic_growth,partial_5pct,20k,r,1.141970256280119,1.1825019288656111,3.5492756805699077,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,30k,r,1.141970256280119,1.1028278554095183,-3.427619997573672,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,20k,K,4038.1387380189717,4091.0989283619133,1.3115000196581406,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,30k,K,4038.1387380189717,3985.8641291812132,-1.294522358669714,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,20k,theta,0.5960676337507468,0.5960676337507468,0.0,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,30k,theta,0.5960676337507468,0.5960676337507468,0.0,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,20k,lag_time,0.15449956838660675,0.15449956838660675,0.0,partial_5pct
A2780Naive,lagged_theta_logistic_growth,partial_5pct,30k,lag_time,0.15449956838660675,0.15449956838660675,0.0,partial_5pct
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,20k,r,1.2495935297763177,1.343534521171271,7.517723896327255,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,30k,r,1.2495935297763177,1.162220966453144,-6.992078723296025,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,20k,K,4052.1785817163686,4086.8336429050487,0.855220481768626,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,30k,K,4052.1785817163686,4017.81738452386,-0.8479684816347532,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,20k,theta,0.5239922534722643,0.505489905930175,-3.531034556232937,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,30k,theta,0.5239922534722643,0.5431718388000188,3.660280319157372,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,20k,lag_time,0.2374076157593876,0.2073115292576506,-12.676967588200439,independent_diagnostic
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,30k,lag_time,0.2374076157593876,0.27187284866587824,14.517324053083925,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,shared,20k,r,1.9997950822916306,1.9997950822916306,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,30k,r,1.9997950822916306,1.9997950822916306,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,20k,K,4056.315747980492,4056.315747980492,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,30k,K,4056.315747980492,4056.315747980492,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,20k,theta,0.3088156909092428,0.3088156909092428,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,30k,theta,0.3088156909092428,0.3088156909092428,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,20k,q0,0.3405652210512167,0.3405652210512167,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,shared,30k,q0,0.3405652210512167,0.3405652210512167,0.0,shared_across_densities
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,20k,r,1.972276312271744,2.0583042351862697,4.361859561931025,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,30k,r,1.972276312271744,1.8898439722620546,-4.179553315972273,partial_5pct
