time,count,source_file,condition,density,cell_line,dose,mix,replicate
1.0,388.320255,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
1.0,390.397106,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
2.0,724.238079,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
2.0,604.543866,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
3.0,1380.043403,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
3.0,1377.216898,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
4.0,2299.232292,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
4.0,2379.683565,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
5.0,3243.148843,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
5.0,3369.330556,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
6.0,3811.789931,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
6.0,3299.33588,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
7.0,4010.870139,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
7.0,3870.975231,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
8.0,3992.377894,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
8.0,3764.211458,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
9.0,4025.2875,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
9.0,3987.587384,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
10.0,4029.721875,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
10.0,3868.399769,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
11.0,4209.522569,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
11.0,4194.565278,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
12.0,4107.822222,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
12.0,4104.020023,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
13.0,4240.892593,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
13.0,4237.359838,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
14.0,4315.735764,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,1
14.0,4308.544213,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,1
1.0,239.801852,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
1.0,211.714931,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
2.0,359.867824,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
2.0,317.706366,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
3.0,892.530556,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
3.0,831.003819,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
4.0,1671.906366,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
4.0,1320.419676,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
5.0,2742.961921,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
5.0,2283.434375,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
6.0,3032.14294,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
7.0,3639.355903,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
7.0,3157.832176,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
8.0,3610.633218,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
8.0,3267.390162,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
9.0,3884.332523,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
9.0,3637.688889,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
10.0,3887.869907,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
10.0,3563.339815,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
11.0,4143.812847,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
11.0,4029.356019,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
12.0,4001.631134,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
12.0,3900.429167,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
13.0,4240.719792,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
13.0,4026.50081,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
14.0,4139.877199,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,2
14.0,4031.280903,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,2
1.0,213.907523,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
1.0,138.438889,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
2.0,163.024537,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
2.0,237.622222,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
3.0,453.940625,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
3.0,554.943403,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
4.0,1132.226389,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
4.0,1084.432176,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
5.0,1902.071412,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
5.0,2233.800694,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
6.0,2717.797222,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
6.0,2773.257407,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
7.0,3274.486227,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
7.0,3359.913426,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
8.0,3202.53044,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
8.0,3183.591319,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
9.0,3688.882176,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
9.0,3640.426968,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
10.0,3735.163194,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
10.0,3526.634259,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
11.0,4105.783681,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
11.0,4031.490509,A2780Naive_sample_averages.csv,monoculture_untreated,30k,A2780Naive,0.0,,3
12.0,3835.134144,A2780Naive_sample_averages.csv,monoculture_untreated,20k,A2780Naive,0.0,,3
