Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,B1,6,78.855671,13.406545,5.473199
1,B2,6,65.742824,10.835119,4.423419
1,B3,6,77.055671,27.880764,11.382274
2,B1,6,155.372917,35.949250,14.676220
2,B2,6,137.909144,21.620634,8.826587
2,B3,6,137.651852,56.748887,23.167636
3,B1,6,346.651389,106.124107,43.324985
3,B2,6,273.567940,50.866670,20.766231
3,B3,6,285.408218,78.058211,31.867131
4,B1,6,776.012616,195.256043,79.712946
4,B2,6,635.321181,125.183153,51.105808
4,B3,6,598.986227,146.835031,59.945151
5,B1,6,1414.180556,327.628683,133.753850
5,B2,6,1057.495602,242.814585,99.128639
5,B3,6,1041.056481,234.504852,95.736205
6,B1,6,1544.120255,334.067174,136.382353
6,B2,6,1239.394676,266.653669,108.860904
6,B3,6,1261.499074,67.580386,27.589577
7,B1,6,1789.116667,167.223838,68.268846
7,B2,6,1957.183912,349.819071,142.813038
7,B3,6,1898.978704,119.023001,48.590936
8,B1,6,1593.043519,121.830847,49.737235
8,B2,6,1651.270370,277.311921,113.212118
8,B3,6,1574.252431,112.157448,45.788086
9,B1,6,2385.082407,196.382221,80.172706
9,B2,6,2504.958218,367.506082,150.033730
9,B3,6,2373.734954,149.873052,61.185417
10,B1,6,2121.842824,424.399567,173.260398
10,B2,6,1840.486690,576.104562,235.193703
10,B3,6,1909.384606,325.433531,132.857683
11,B1,6,2700.534144,324.750578,132.578868
11,B2,6,2339.276620,580.549346,237.008278
11,B3,6,2571.499421,422.302906,172.404439
12,B1,6,2497.069676,376.347834,153.643360
12,B2,6,2132.741088,464.732433,189.726221
12,B3,6,2103.156829,705.711814,288.105642
13,B1,6,2972.137384,485.846365,198.345948
13,B2,6,2753.533218,399.532820,163.108591
13,B3,6,2756.658218,418.776131,170.964639
14,B1,6,3251.699306,676.849947,276.322834
14,B2,6,3319.551273,649.165869,265.020856
14,B3,6,3730.564583,524.253331,214.025526
