Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,683.094985,105.489448,60.904361
2,3,962.599460,112.205231,64.781720
3,3,1293.415316,170.581042,98.485010
4,3,1242.376196,164.018742,94.696265
5,3,1196.672107,67.315832,38.864814
6,3,1151.698109,105.039811,60.644763
7,3,908.636651,84.686276,48.893644
8,3,684.295756,51.154360,29.533984
9,3,451.471335,37.930033,21.898915
10,3,351.642129,61.012932,35.225833
11,3,239.048881,37.340672,21.558647
12,3,153.482562,30.165767,17.416213
13,3,115.127353,23.975518,13.842272
14,3,60.396605,9.669497,5.582687
