Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,73.884722,7.108296,4.103977
2,3,143.644638,10.157803,5.864610
3,3,301.875849,39.226073,22.647184
4,3,670.106675,93.499243,53.981813
5,3,1170.910880,210.838001,121.727377
6,3,1348.338002,169.912240,98.098877
7,3,1881.759761,85.346463,49.274803
8,3,1606.188773,40.156432,23.184327
9,3,2421.258526,72.707771,41.977851
10,3,1957.238040,146.655317,84.671487
11,3,2537.103395,183.068470,105.694630
12,3,2244.322531,219.384700,126.661816
13,3,2827.442940,125.318805,72.352846
14,3,3433.938387,259.116378,149.600911
