time,observed,prediction,best_model,cell_line,density,dose
1.0,277.1990353333333,277.1990353333333,adaptive_ic50_hill,A2780Naive,30k,1.0
2.0,512.5472606666666,494.22557206497214,adaptive_ic50_hill,A2780Naive,30k,1.0
3.0,810.4685956666666,785.5517995351091,adaptive_ic50_hill,A2780Naive,30k,1.0
4.0,1072.5972223333333,1089.906925539579,adaptive_ic50_hill,A2780Naive,30k,1.0
5.0,1220.3375386666667,1335.1938612592926,adaptive_ic50_hill,A2780Naive,30k,1.0
6.0,1524.2378856666667,1495.6243773601952,adaptive_ic50_hill,A2780Naive,30k,1.0
7.0,1784.3173613333336,1588.9806808626818,adaptive_ic50_hill,A2780Naive,30k,1.0
8.0,1754.768094,1644.588533735686,adaptive_ic50_hill,A2780Naive,30k,1.0
9.0,1630.9435183333335,1686.9713534736202,adaptive_ic50_hill,A2780Naive,30k,1.0
10.0,1765.6959490000002,1734.7950510713044,adaptive_ic50_hill,A2780Naive,30k,1.0
11.0,1797.057716,1803.9711910605636,adaptive_ic50_hill,A2780Naive,30k,1.0
12.0,1664.883989,1909.8008698742271,adaptive_ic50_hill,A2780Naive,30k,1.0
13.0,1869.5183256666667,2066.6409895816987,adaptive_ic50_hill,A2780Naive,30k,1.0
14.0,2521.7536263333336,2284.46738272604,adaptive_ic50_hill,A2780Naive,30k,1.0
