time,observed,prediction,best_model,cell_line,density,dose
1.0,79.832716,79.832716,anchored_linear_kill,A2780cis,20k,1.47
2.0,136.68186733333332,151.9729458870885,anchored_linear_kill,A2780cis,20k,1.47
3.0,256.032137,283.9038455674982,anchored_linear_kill,A2780cis,20k,1.47
4.0,551.4876543333334,512.8651233120665,anchored_linear_kill,A2780cis,20k,1.47
5.0,932.248611,876.293719075026,anchored_linear_kill,A2780cis,20k,1.47
6.0,1630.1435956666667,1378.7168837804575,anchored_linear_kill,A2780cis,20k,1.47
7.0,2349.2489583333336,1955.2059906293912,anchored_linear_kill,A2780cis,20k,1.47
8.0,2344.200308666667,2490.796531794206,anchored_linear_kill,A2780cis,20k,1.47
9.0,3261.814429,2899.2085046894804,anchored_linear_kill,A2780cis,20k,1.47
10.0,2744.403163333333,3166.1864016337236,anchored_linear_kill,A2780cis,20k,1.47
11.0,3624.0109566666665,3323.5775545266165,anchored_linear_kill,A2780cis,20k,1.47
12.0,2656.8393906666665,3410.7691859138763,anchored_linear_kill,A2780cis,20k,1.47
13.0,3902.5750386666664,3457.4135245875736,anchored_linear_kill,A2780cis,20k,1.47
14.0,2987.771682,3481.9008649094326,anchored_linear_kill,A2780cis,20k,1.47
