time,observed,prediction,best_model,cell_line,density,dose
1.0,470.381366,470.381366,one_stage_transit_linear_kill,A2780Naive,20k,0.67
2.0,658.348264,838.7394670349522,one_stage_transit_linear_kill,A2780Naive,20k,0.67
3.0,910.885918,950.4382884997193,one_stage_transit_linear_kill,A2780Naive,20k,0.67
4.0,928.761304,924.3824768838883,one_stage_transit_linear_kill,A2780Naive,20k,0.67
5.0,914.7665896666667,831.7945202836909,one_stage_transit_linear_kill,A2780Naive,20k,0.67
6.0,867.7298226666667,713.9603670419629,one_stage_transit_linear_kill,A2780Naive,20k,0.67
7.0,681.9129633333333,593.6658522094654,one_stage_transit_linear_kill,A2780Naive,20k,0.67
8.0,481.738503,482.4989127160988,one_stage_transit_linear_kill,A2780Naive,20k,0.67
9.0,333.6756173333333,385.4592291931555,one_stage_transit_linear_kill,A2780Naive,20k,0.67
10.0,232.34174399999998,303.82679510925783,one_stage_transit_linear_kill,A2780Naive,20k,0.67
11.0,155.3204476666667,236.91429646721463,one_stage_transit_linear_kill,A2780Naive,20k,0.67
12.0,103.907562,183.11137485644167,one_stage_transit_linear_kill,A2780Naive,20k,0.67
13.0,71.52523133333334,140.4854552168142,one_stage_transit_linear_kill,A2780Naive,20k,0.67
14.0,36.60995366666666,107.1094590731156,one_stage_transit_linear_kill,A2780Naive,20k,0.67
