time,observed,prediction,best_model,cell_line,density,dose
1.0,117.62118066666666,117.62118066666666,anchored_linear_kill,A2780cis,30k,1.0
2.0,206.52970666666667,222.711976013061,anchored_linear_kill,A2780cis,30k,1.0
3.0,392.79753066666666,410.4138020119676,anchored_linear_kill,A2780cis,30k,1.0
4.0,793.1631946666666,721.8124112885646,anchored_linear_kill,A2780cis,30k,1.0
5.0,1328.3501159999998,1180.1738831258047,anchored_linear_kill,A2780cis,30k,1.0
6.0,1947.6582176666668,1748.537190130382,anchored_linear_kill,A2780cis,30k,1.0
7.0,2594.510609333334,2320.606986794906,anchored_linear_kill,A2780cis,30k,1.0
8.0,2352.0106483333334,2787.42129356953,anchored_linear_kill,A2780cis,30k,1.0
9.0,3220.0850306666666,3107.3885345283593,anchored_linear_kill,A2780cis,30k,1.0
10.0,2953.806751666667,3301.372025362225,anchored_linear_kill,A2780cis,30k,1.0
11.0,3595.1114196666663,3410.349176089054,anchored_linear_kill,A2780cis,30k,1.0
12.0,2534.660455333333,3468.964096741359,anchored_linear_kill,A2780cis,30k,1.0
13.0,3853.449228666667,3499.75442503678,anchored_linear_kill,A2780cis,30k,1.0
14.0,4116.669907333334,3515.7278154096566,anchored_linear_kill,A2780cis,30k,1.0
