model,bic
one_stage_transit_linear_kill,14219.193618434521
hill_death_instantaneous,14225.703876775044
transit_hill_combined,14232.214135115568
theta_logistic_hill_kill,14232.214135115568
transit_chain_erlang,14232.214135115568
