time,observed,prediction,best_model,cell_line,density,dose
1.0,66.07534733333334,66.07534733333334,one_stage_transit_linear_kill,A2780cis,20k,0.67
2.0,136.019406,177.07073111667668,one_stage_transit_linear_kill,A2780cis,20k,0.67
3.0,262.4119983333333,388.5312840859509,one_stage_transit_linear_kill,A2780cis,20k,0.67
4.0,627.1851849999999,707.8531840107016,one_stage_transit_linear_kill,A2780cis,20k,0.67
5.0,1055.7064813333334,1071.4802542141254,one_stage_transit_linear_kill,A2780cis,20k,0.67
6.0,1644.4327546666666,1406.1656604876553,one_stage_transit_linear_kill,A2780cis,20k,0.67
7.0,1888.7926696666666,1692.6903555536628,one_stage_transit_linear_kill,A2780cis,20k,0.67
8.0,1640.846373333333,1942.9438262268686,one_stage_transit_linear_kill,A2780cis,20k,0.67
9.0,2390.4506556666665,2169.8280100637976,one_stage_transit_linear_kill,A2780cis,20k,0.67
10.0,1885.2126543333334,2380.739478148423,one_stage_transit_linear_kill,A2780cis,20k,0.67
11.0,2693.7878856666666,2579.317939935311,one_stage_transit_linear_kill,A2780cis,20k,0.67
12.0,2554.914467666667,2767.3759188932763,one_stage_transit_linear_kill,A2780cis,20k,0.67
13.0,3229.3090276666667,2945.923888196107,one_stage_transit_linear_kill,A2780cis,20k,0.67
14.0,3171.784760666667,3115.627482350068,one_stage_transit_linear_kill,A2780cis,20k,0.67
