time,observed,predicted,model,cell_line,density,dose
14.0,2445.406712666667,2128.840396033995,time_decay_kill_fixed,A2780Naive,20k,1.0
1.0,164.83707566666666,164.83707566666666,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
2.0,310.328588,242.45341564487651,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
3.0,498.45925933333325,350.4356232574817,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
4.0,690.7097223333334,494.58395368836597,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
5.0,804.9089893333334,676.7545304730387,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
6.0,1188.2886573333333,891.6832948874844,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
7.0,1563.5381556666664,1125.6217380982503,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
8.0,1634.130247,1358.9322926135753,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
9.0,1556.192554,1572.1831125223318,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
10.0,1522.992284,1752.1118218789409,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
11.0,1608.247685333333,1893.9565030878641,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
12.0,1500.9281636666667,1999.9079354935873,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
13.0,2011.2254243333334,2075.903826878857,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
14.0,2445.406712666667,2128.8419932327633,time_decay_kill_dose_scaled,A2780Naive,20k,1.0
1.0,305.18962200000004,305.18962200000004,simeoni_transit_compartment,A2780Naive,20k,0.67
2.0,465.63738433333333,528.2852310615672,simeoni_transit_compartment,A2780Naive,20k,0.67
3.0,790.214892,764.9658190076257,simeoni_transit_compartment,A2780Naive,20k,0.67
4.0,880.948534,1017.6657102470627,simeoni_transit_compartment,A2780Naive,20k,0.67
5.0,1277.0010803333332,1285.9085681817678,simeoni_transit_compartment,A2780Naive,20k,0.67
6.0,1612.01223,1566.4198490251233,simeoni_transit_compartment,A2780Naive,20k,0.67
7.0,2016.4244216666668,1853.6724373812935,simeoni_transit_compartment,A2780Naive,20k,0.67
8.0,2081.411111,2140.806754491592,simeoni_transit_compartment,A2780Naive,20k,0.67
9.0,2395.0547066666663,2420.7120211565166,simeoni_transit_compartment,A2780Naive,20k,0.67
10.0,2537.1984183333334,2686.999496793823,simeoni_transit_compartment,A2780Naive,20k,0.67
11.0,3073.8874999999994,2934.665978664866,simeoni_transit_compartment,A2780Naive,20k,0.67
12.0,3042.368325666667,3160.380941976414,simeoni_transit_compartment,A2780Naive,20k,0.67
13.0,3537.7463733333334,3362.451667494945,simeoni_transit_compartment,A2780Naive,20k,0.67
14.0,3458.3808643333336,3540.5813776604195,simeoni_transit_compartment,A2780Naive,20k,0.67
1.0,305.18962200000004,305.18962200000004,time_decay_kill_fixed,A2780Naive,20k,0.67
2.0,465.63738433333333,429.1769498935749,time_decay_kill_fixed,A2780Naive,20k,0.67
3.0,790.214892,606.0197577755862,time_decay_kill_fixed,A2780Naive,20k,0.67
4.0,880.948534,847.226140688001,time_decay_kill_fixed,A2780Naive,20k,0.67
5.0,1277.0010803333332,1154.9034798347445,time_decay_kill_fixed,A2780Naive,20k,0.67
6.0,1612.01223,1513.8991894070878,time_decay_kill_fixed,A2780Naive,20k,0.67
7.0,2016.4244216666668,1891.2051835109676,time_decay_kill_fixed,A2780Naive,20k,0.67
8.0,2081.411111,2247.6436031412363,time_decay_kill_fixed,A2780Naive,20k,0.67
9.0,2395.0547066666663,2554.4267687868214,time_decay_kill_fixed,A2780Naive,20k,0.67
10.0,2537.1984183333334,2801.2764156754174,time_decay_kill_fixed,A2780Naive,20k,0.67
11.0,3073.8874999999994,2992.81334665444,time_decay_kill_fixed,A2780Naive,20k,0.67
12.0,3042.368325666667,3140.346345908495,time_decay_kill_fixed,A2780Naive,20k,0.67
13.0,3537.7463733333334,3255.6391678942073,time_decay_kill_fixed,A2780Naive,20k,0.67
14.0,3458.3808643333336,3348.170329708589,time_decay_kill_fixed,A2780Naive,20k,0.67
1.0,305.18962200000004,305.18962200000004,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
2.0,465.63738433333333,429.17721583931416,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
3.0,790.214892,606.0203499557863,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
4.0,880.948534,847.2270697466408,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
5.0,1277.0010803333332,1154.9046496041055,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
6.0,1612.01223,1513.900371797573,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
7.0,2016.4244216666668,1891.2060793718458,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
8.0,2081.411111,2247.6439684903316,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
9.0,2395.0547066666663,2554.426504435832,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
10.0,2537.1984183333334,2801.2755591146843,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
11.0,3073.8874999999994,2992.8120069644897,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
12.0,3042.368325666667,3140.344645009466,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
13.0,3537.7463733333334,3255.6372112918707,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
14.0,3458.3808643333336,3348.1681995436306,time_decay_kill_dose_scaled,A2780Naive,20k,0.67
1.0,683.0949846666667,683.0949846666667,simeoni_transit_compartment,A2780Naive,30k,1.47
2.0,962.59946,982.7489586308425,simeoni_transit_compartment,A2780Naive,30k,1.47
3.0,1293.4153163333333,1081.6224313898113,simeoni_transit_compartment,A2780Naive,30k,1.47
4.0,1242.3761956666667,1067.2546224943435,simeoni_transit_compartment,A2780Naive,30k,1.47
5.0,1196.6721066666667,992.7112338951086,simeoni_transit_compartment,A2780Naive,30k,1.47
6.0,1151.6981093333334,890.0085836894795,simeoni_transit_compartment,A2780Naive,30k,1.47
7.0,908.6366510000001,778.168156946023,simeoni_transit_compartment,A2780Naive,30k,1.47
8.0,684.2957563333333,668.1290735802136,simeoni_transit_compartment,A2780Naive,30k,1.47
9.0,451.471335,565.8019136297155,simeoni_transit_compartment,A2780Naive,30k,1.47
