time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
3.0,456.602199,NaN,NaN,NaN,NaN,NaN
3.0,850.662153,NaN,NaN,NaN,NaN,NaN
3.0,859.936921,NaN,NaN,NaN,NaN,NaN
3.0,660.045602,NaN,NaN,NaN,NaN,NaN
3.0,1110.770255,NaN,NaN,NaN,NaN,NaN
3.0,1448.60081,NaN,NaN,NaN,NaN,NaN
3.0,1320.874884,NaN,NaN,NaN,NaN,NaN
3.0,907.462269,NaN,NaN,NaN,NaN,NaN
3.0,917.526736,NaN,NaN,NaN,NaN,NaN
3.0,606.416782,NaN,NaN,NaN,NaN,NaN
3.0,1269.710301,NaN,NaN,NaN,NaN,NaN
3.0,1253.711111,NaN,NaN,NaN,NaN,NaN
3.0,1485.413542,NaN,NaN,NaN,NaN,NaN
3.0,262.411998,NaN,NaN,NaN,NaN,NaN
3.0,298.622724,NaN,NaN,NaN,NaN,NaN
3.0,256.032137,NaN,NaN,NaN,NaN,NaN
3.0,301.875849,NaN,NaN,NaN,NaN,NaN
3.0,392.797531,NaN,NaN,NaN,NaN,NaN
3.0,381.19267,NaN,NaN,NaN,NaN,NaN
3.0,280.497106,NaN,NaN,NaN,NaN,NaN
3.0,258.054745,NaN,NaN,NaN,NaN,NaN
3.0,248.684144,NaN,NaN,NaN,NaN,NaN
3.0,317.704167,NaN,NaN,NaN,NaN,NaN
3.0,291.964583,NaN,NaN,NaN,NaN,NaN
3.0,286.199421,NaN,NaN,NaN,NaN,NaN
3.0,230.708449,NaN,NaN,NaN,NaN,NaN
3.0,247.303356,NaN,NaN,NaN,NaN,NaN
3.0,290.084606,NaN,NaN,NaN,NaN,NaN
3.0,346.651389,NaN,NaN,NaN,NaN,NaN
3.0,273.56794,NaN,NaN,NaN,NaN,NaN
3.0,285.408218,NaN,NaN,NaN,NaN,NaN
3.0,372.058449,NaN,NaN,NaN,NaN,NaN
3.0,360.129398,NaN,NaN,NaN,NaN,NaN
3.0,446.204745,NaN,NaN,NaN,NaN,NaN
3.0,338.570486,NaN,NaN,NaN,NaN,NaN
3.0,386.285417,NaN,NaN,NaN,NaN,NaN
3.0,418.722106,NaN,NaN,NaN,NaN,NaN
4.0,928.761304,NaN,NaN,NaN,NaN,NaN
4.0,690.709722,NaN,NaN,NaN,NaN,NaN
4.0,880.948534,NaN,NaN,NaN,NaN,NaN
4.0,1242.376196,NaN,NaN,NaN,NaN,NaN
4.0,1072.597222,NaN,NaN,NaN,NaN,NaN
4.0,1623.104938,NaN,NaN,NaN,NaN,NaN
4.0,650.646875,NaN,NaN,NaN,NaN,NaN
