time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
12.0,1500.9281636666667,1563.0901639318859,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,2011.2254243333334,1559.99317654828,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,2445.406712666667,1557.7060992615563,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.0,IC50,0.5,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,470.381366,160.16569858432067,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,658.348264,370.9400659171271,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,910.885918,788.6113333424056,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,928.761304,1002.4978777585906,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,914.7665896666667,907.7582638414149,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,867.7298226666667,738.9836635265546,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,681.9129633333333,588.455476030462,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,481.738503,471.04213775184115,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,333.6756173333333,381.7698266892587,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
