time,observed,prediction,best_model,cell_line,density,dose
1.0,164.83707566666666,164.83707566666666,population_balance_sr,A2780Naive,20k,1.0
2.0,310.328588,288.99881291932087,population_balance_sr,A2780Naive,20k,1.0
3.0,498.45925933333325,476.21508429228675,population_balance_sr,A2780Naive,20k,1.0
4.0,690.7097223333334,719.4756059096459,population_balance_sr,A2780Naive,20k,1.0
5.0,804.9089893333334,981.0294849140887,population_balance_sr,A2780Naive,20k,1.0
6.0,1188.2886573333333,1210.7671423081147,population_balance_sr,A2780Naive,20k,1.0
7.0,1563.5381556666664,1379.4125317085318,population_balance_sr,A2780Naive,20k,1.0
8.0,1634.130247,1487.7777625908006,population_balance_sr,A2780Naive,20k,1.0
9.0,1556.192554,1552.271413684312,population_balance_sr,A2780Naive,20k,1.0
10.0,1522.992284,1591.6231956429763,population_balance_sr,A2780Naive,20k,1.0
11.0,1608.247685333333,1625.9627808724224,population_balance_sr,A2780Naive,20k,1.0
12.0,1500.9281636666667,1692.6392046584583,population_balance_sr,A2780Naive,20k,1.0
13.0,2011.2254243333334,1895.332309856825,population_balance_sr,A2780Naive,20k,1.0
14.0,2445.406712666667,2467.797419445401,population_balance_sr,A2780Naive,20k,1.0
