Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,470.381366,126.421692,72.989598
2,3,658.348264,181.555351,104.821031
3,3,910.885918,268.315737,154.912163
4,3,928.761304,246.890552,142.542327
5,3,914.766590,276.519500,159.648608
6,3,867.729823,231.971388,133.928743
7,3,681.912963,202.190408,116.734687
8,3,481.738503,94.173828,54.371285
9,3,333.675617,61.957959,35.771444
10,3,232.341744,27.483906,15.867841
11,3,155.320448,13.074346,7.548477
12,3,103.907562,21.225737,12.254685
13,3,71.525231,10.685802,6.169451
14,3,36.609954,5.248702,3.030340
