Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A4,6,332.640741,135.626258,55.369188
1,A5,6,497.381829,229.201483,93.571114
1,A6,6,581.121528,271.727582,110.932321
2,A4,6,449.617593,232.688842,94.994822
2,A5,6,745.802778,386.151865,157.645839
2,A6,6,779.624421,509.553643,208.024404
3,A4,6,614.557060,276.382742,112.832782
3,A5,6,980.722569,384.495574,156.969661
3,A6,6,1137.378125,614.104761,250.707219
4,A4,6,650.646875,260.972480,106.541569
4,A5,6,1013.557870,470.969759,192.272599
4,A6,6,1122.079167,540.097759,220.493987
5,A4,6,598.397917,277.668341,113.357625
5,A5,6,1035.585417,451.570769,184.352994
5,A6,6,1110.316435,696.647831,284.405286
6,A4,6,651.939468,310.438156,126.735846
6,A5,6,838.196412,355.687959,145.209001
6,A6,6,1113.053588,472.933113,193.074135
7,A4,6,492.017130,97.771092,39.914881
7,A5,6,659.235880,181.689873,74.174580
7,A6,6,894.485880,288.624094,117.830293
8,A4,6,395.854630,162.357875,66.282325
8,A5,6,466.916435,119.773999,48.897530
8,A6,6,582.444444,176.292623,71.971162
9,A4,6,267.103819,130.964027,53.465840
9,A5,6,344.269329,87.102903,35.559611
9,A6,6,389.653704,94.088850,38.411612
10,A4,6,201.815394,84.725239,34.588934
10,A5,6,240.090162,66.904187,27.313520
10,A6,6,255.119676,93.583811,38.205431
11,A4,6,142.737500,65.929475,26.915596
11,A5,6,154.387616,53.743940,21.940872
11,A6,6,168.836227,66.215785,27.032481
12,A4,6,79.883218,40.562191,16.559445
12,A5,6,111.717940,38.605225,15.760517
12,A6,6,120.121528,50.775040,20.728823
13,A4,6,76.093866,49.243058,20.103394
13,A5,6,59.314583,21.453319,8.758281
13,A6,6,79.167245,24.339850,9.936702
14,A4,6,38.263657,21.100443,8.614220
14,A5,6,30.733565,12.787715,5.220563
14,A6,6,40.832639,17.085238,6.975019
