Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,66.075347,4.219276,2.436000
2,3,136.019406,10.848645,6.263468
3,3,262.411998,16.347947,9.438492
4,3,627.185185,19.962487,11.525347
5,3,1055.706481,58.540882,33.798594
6,3,1644.432755,135.560892,78.266117
7,3,1888.792670,167.340625,96.614155
8,3,1640.846373,149.900758,86.545243
9,3,2390.450656,88.951263,51.356036
10,3,1885.212654,121.366755,70.071128
11,3,2693.787886,175.266761,101.190312
12,3,2554.914468,196.627557,113.522973
13,3,3229.309028,138.849765,80.164949
14,3,3171.784761,215.321200,124.315753
