Image,Area µm^2,Confluency %,Perimeter µm,Unnamed: 4
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_A1.tif,189.35694444444445,4.301214443,10286.3,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_A4.tif,106.44722222222222,2.417932603,8742.7,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_B1.tif,66.22430555555555,1.504275116,5727.9,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_B4.tif,86.20902777777778,1.958225068,6918.7,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_C1.tif,68.74027777777778,1.561425045,6420.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-3_C4.tif,92.77361111111111,2.107338588,8509.3,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_A1.tif,134.21249999999998,3.048616702,9980.4,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_A4.tif,45.947916666666664,1.043699999,4717.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_B1.tif,107.83541666666666,2.449465231,9538.0,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_B4.tif,93.40972222222223,2.121787756,8506.5,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_C1.tif,216.12083333333334,4.909152144,15901.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-4_C4.tif,128.92777777777778,2.928575033,9900.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_A1.tif,76.64375000000001,1.740951225,6585.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_A4.tif,59.87430555555555,1.360035823,5443.4,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_B1.tif,46.36597222222222,1.053196068,3317.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_B4.tif,122.78819444444444,2.789115323,9853.8,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_C1.tif,87.53055555555555,1.988243372,6611.4,
75-25_co-cultureA2780_15and20_Day12_FITC_Tile-5_C4.tif,76.82291666666667,1.745020969,7107.9,
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_A1.tif,134.52569444444444,3.055730866,8611.8,1.950913726
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_A4.tif,68.49097222222223,1.555762107,5821.8,2.179368848
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_B1.tif,73.14027777777778,1.661370382,6130.5,2.158588967
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_B4.tif,66.85347222222222,1.518566542,5012.3,
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_C1.tif,92.71388888888889,2.105982007,7022.6,1.365062535
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-0_C4.tif,67.9076388888889,1.542511779,5255.6,1.560034287
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-1_A1.tif,108.30972222222222,2.46023901,8352.8,1.116613614
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-1_A4.tif,85.23263888888889,1.936046541,6718.1,
75-25_co-cultureA2780_15and20_Day14_FITC_Tile-1_B1.tif,236.54166666666666,5.373008294,12006.4,
