Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_A3.tif,1665.8548611111112,37.839642,51858.4,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_A6.tif,1138.53125,25.86156568,49539.4,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_B3.tif,1283.6555555555556,29.1580424,48581.9,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_B6.tif,1205.9958333333334,27.39401352,52568.4,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_C3.tif,922.4631944444444,20.95361238,46533.2,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-3_C6.tif,1599.3708333333334,36.32946733,51797.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_A3.tif,734.9159722222222,16.6935055,42216.6,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_A6.tif,1270.4208333333331,28.85741768,51511.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_B3.tif,817.7729166666667,18.5755885,40384.1,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_B6.tif,899.6312499999999,20.4349882,45275.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_C3.tif,796.6388888888889,18.09553225,36276.7,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-4_C6.tif,1598.0881944444443,36.30033238,56759.7,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_A3.tif,801.1083333333333,18.197055,38264.3,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_A6.tif,920.6951388888888,20.91345126,41445.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_B3.tif,402.43055555555554,9.141149393,24510.8,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_B6.tif,1108.2458333333334,25.17363701,45168.8,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_C3.tif,592.0548611111111,13.4484369,32341.5,
25-75_co-cultureA2780_15and20_Day10_FITC_Tile-5_C6.tif,2265.311111111111,51.45620034,55597.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_A3.tif,512.6173611111111,11.64402607,29450.5,15.48595888
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_A6.tif,776.8958333333334,17.64707172,26033.1,20.37185722
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_B3.tif,1171.8416666666667,26.61820677,41845.3,18.0488301
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_B6.tif,781.151388888889,17.74373602,27573.9,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_C3.tif,951.9152777777776,21.62261201,39075.2,21.4065002
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-0_C6.tif,1264.1027777777776,28.713904,38578.7,18.6115195
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_A3.tif,520.1409722222222,11.81492376,30279.9,29.63185733
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_A6.tif,1250.2354166666669,28.39890899,44833.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_B3.tif,636.9659722222223,14.46858602,31460.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_B6.tif,840.8715277777778,19.10026997,37962.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_C3.tif,604.161111111111,13.72342855,33784.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-1_C6.tif,1336.111111111111,30.34956244,44429.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_A3.tif,746.9131944444445,16.9660206,27931.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_A6.tif,822.5659722222222,18.68446204,33469.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_B3.tif,1236.8291666666669,28.09438804,35864.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_B6.tif,859.1979166666666,19.51655113,38612.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_C3.tif,1212.7291666666667,27.54696017,38655.5,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-2_C6.tif,1516.9180555555556,34.45656492,44369.2,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_A3.tif,627.1083333333333,14.24467124,27780.2,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_A6.tif,787.6527777777778,17.89141409,35731.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_B3.tif,821.7159722222223,18.66515441,37251.3,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_B6.tif,753.4319444444444,17.11409302,41104.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_C3.tif,594.3458333333333,13.50047599,28069.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-3_C6.tif,1182.1069444444445,26.85138101,37264.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_A3.tif,1056.992361111111,24.00942211,39830.7,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_A6.tif,1051.7173611111111,23.88960128,42303.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_B3.tif,1059.7541666666666,24.07215611,41263.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_B6.tif,1000.11875,22.71754661,47349.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_C3.tif,915.2944444444444,20.7907753,34038.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-4_C6.tif,1471.7854166666666,33.43138383,48550.6,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_A3.tif,626.7569444444445,14.23668949,31550.4,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_A6.tif,965.3395833333332,21.92754309,46614.3,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_B3.tif,454.0048611111111,10.31265197,25619.1,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_B6.tif,681.3569444444444,15.47692026,36271.0,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_C3.tif,489.0513888888888,11.10872856,28384.8,
25-75_co-cultureA2780_15and20_Day12_FITC_Tile-5_C6.tif,1056.0645833333333,23.98834778,43323.5,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_A3.tif,220.6326388888889,5.011637126,13235.6,6.841691554
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_A6.tif,223.67291666666668,5.080696578,13534.4,7.653884124
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_B3.tif,205.0583333333333,4.657869124,14581.5,9.720769774
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_B6.tif,336.48055555555555,7.643105087,20339.3,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_C3.tif,534.1451388888888,12.13302629,30846.2,15.25404921
