source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,20k,75-25,,option2_alpha_beta_gamma_delta,δ,0.85593945,,,182.12492,8254.6747
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,25-75,,competing_coculture,k,183110.46,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,25-75,,competing_coculture,rr,0.46346656,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,25-75,,competing_coculture,rs,2.527135,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,25-75,,competing_coculture,α,0.82325446,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,25-75,,competing_coculture,β,0.17472022,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,25-75,,option1_alpha_beta,αrs,9.8641063e-05,,,235.14645,60637.321
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,25-75,,option1_alpha_beta,αsr,0.99991258,,,235.14645,60637.321
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,25-75,,option2_alpha_beta_gamma_delta,αrs,1.9376455e-12,,,210.86141,21513.115
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,25-75,,option2_alpha_beta_gamma_delta,αsr,0.084404535,,,210.86141,21513.115
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,25-75,,option2_alpha_beta_gamma_delta,γ,1.1175976,,,210.86141,21513.115
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,25-75,,option2_alpha_beta_gamma_delta,δ,2.7889396e-10,,,210.86141,21513.115
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,50-50,,competing_coculture,k,64695.958,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,50-50,,competing_coculture,rr,2.7806101,,,1987.2966,1e+30
