Day,Well,mean_cells,n_tiles,channel_count
1,A3,15.17,6,1
1,B3,13.83,6,1
1,C3,9.42,6,1
2,A3,34.78,6,1
2,B3,44.55,6,1
2,C3,30.43,6,1
3,A3,102.61,6,1
3,B3,122.56,6,1
3,C3,91.5,6,1
4,A3,246.93,6,1
4,B3,333.5,6,1
4,C3,230.25,6,1
5,A3,821.92,6,1
5,B3,981.19,6,1
5,C3,746.51,6,1
6,A3,891.92,6,1
6,B3,907.15,6,1
6,C3,781.72,6,1
7,A3,1587.94,6,1
7,B3,1544.41,6,1
7,C3,1527.39,6,1
8,A3,1761.06,6,1
8,B3,1845.26,6,1
8,C3,1723.35,6,1
9,A3,1731.52,6,1
9,B3,1673.5,6,1
9,C3,1541.73,6,1
10,A3,2011.8,6,1
10,B3,2113.71,6,1
10,C3,2170.44,6,1
11,A3,2459.81,6,1
11,B3,2485.92,6,1
11,C3,2155.62,6,1
12,A3,2367.25,6,1
12,B3,2088.23,6,1
12,C3,2295.19,6,1
13,A3,2901.56,6,1
13,B3,2397.47,6,1
13,C3,2953.02,6,1
14,A3,2473.2,6,1
14,B3,2751.21,6,1
14,C3,2831.09,6,1
