Day,day_mean_cells,n_wells
1,19.43,3
2,55.28,3
3,144.22,3
4,405.09,3
5,1191.86,3
6,947.34,3
7,1698.11,3
8,2026.4,3
9,1937.73,3
10,2396.28,3
11,2527.39,3
12,2749.0,3
13,2943.03,3
14,2942.06,3
