Day,Well,mean_cells,n_tiles,channel_count
1,A2,23.15,6,1
1,B2,23.48,6,1
1,C2,11.66,6,1
2,A2,64.96,6,1
2,B2,67.9,6,1
2,C2,32.99,6,1
3,A2,161.42,6,1
3,B2,179.05,6,1
3,C2,92.2,6,1
4,A2,454.9,6,1
4,B2,501.3,6,1
4,C2,259.07,6,1
5,A2,1371.62,6,1
5,B2,1320.35,6,1
5,C2,883.62,6,1
6,A2,1039.97,6,1
6,B2,920.94,6,1
6,C2,881.12,6,1
7,A2,1988.47,6,1
7,B2,1631.01,6,1
7,C2,1474.84,6,1
8,A2,2270.43,6,1
8,B2,2056.1,6,1
8,C2,1752.68,6,1
9,A2,2250.12,6,1
9,B2,1759.54,6,1
9,C2,1803.53,6,1
10,A2,2629.11,6,1
10,B2,2467.08,6,1
10,C2,2092.66,6,1
11,A2,2591.01,6,1
11,B2,2466.98,6,1
11,C2,2524.19,6,1
12,A2,3111.82,6,1
12,B2,2602.34,6,1
12,C2,2532.83,6,1
13,A2,3310.14,6,1
13,B2,2795.13,6,1
13,C2,2723.82,6,1
14,A2,2851.46,6,1
14,B2,2896.13,6,1
14,C2,3078.58,6,1
