Day,day_mean_cells,n_wells
1,20.68,3
2,64.2,3
3,168.49,3
4,473.57,3
5,1202.43,3
6,748.59,3
7,1784.08,3
8,2094.62,3
9,2307.65,3
10,2381.69,3
11,2366.49,3
12,2527.43,3
13,2828.87,3
14,2795.03,3
