Day,day_mean_cells,n_wells
1,12.81,3
2,36.59,3
3,105.56,3
4,270.23,3
5,849.87,3
6,860.26,3
7,1553.25,3
8,1776.56,3
9,1648.92,3
10,2098.65,3
11,2367.12,3
12,2250.22,3
13,2750.68,3
14,2685.17,3
