Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,82.574769,3.469407,2.003063
2,3,153.749267,10.832852,6.254350
3,3,298.622724,16.774546,9.684788
4,3,584.293750,9.541424,5.508744
5,3,1028.857523,47.964785,27.692482
6,3,1728.468171,70.891298,40.929110
7,3,2346.510378,94.406917,54.505859
8,3,2305.369097,234.973642,135.662095
9,3,3049.632677,180.944137,104.468146
10,3,3134.858873,258.445244,149.213431
11,3,3720.538503,137.880658,79.605435
12,3,2824.667709,167.647808,96.791507
13,3,3906.991705,75.887651,43.813756
14,3,4011.975926,282.388299,163.036960
