Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A1,6,178.075694,40.986387,16.732622
1,A2,6,164.776968,39.368042,16.071936
1,A3,6,151.658565,41.466041,16.928440
2,A1,6,324.121528,104.822613,42.793652
2,A2,6,300.025347,64.757889,26.437297
2,A3,6,306.838889,71.704320,29.273166
3,A1,6,510.147454,122.393176,49.966805
3,A2,6,528.628125,64.568310,26.359902
3,A3,6,456.602199,116.973274,47.754139
4,A1,6,736.653241,249.514496,101.863866
4,A2,6,740.470255,178.033440,72.681847
4,A3,6,595.005671,213.640228,87.218258
5,A1,6,931.316782,353.627547,144.367841
5,A2,6,763.818056,343.602565,140.275160
5,A3,6,719.592130,221.709528,90.512536
6,A1,6,1271.737847,472.666402,192.965250
6,A2,6,1179.996759,160.768977,65.633660
6,A3,6,1113.131366,211.892509,86.504755
7,A1,6,1557.258333,313.150899,127.843319
7,A2,6,1607.083449,484.139109,197.648964
7,A3,6,1526.272685,267.357169,109.148107
8,A1,6,1576.301736,514.460824,210.027752
8,A2,6,1691.043056,356.107238,145.380171
8,A3,6,1635.045949,344.575379,140.672310
9,A1,6,1425.170255,404.121098,164.981747
9,A2,6,1584.317824,267.012861,109.007544
9,A3,6,1659.089583,365.169708,149.079909
10,A1,6,1622.392708,463.047365,189.038295
10,A2,6,1759.786343,341.926740,139.591007
10,A3,6,1186.797801,264.224269,107.869106
11,A1,6,1660.895023,289.407598,118.150157
11,A2,6,1811.184028,282.975671,115.524334
11,A3,6,1352.664005,322.596897,131.699632
12,A1,6,1586.632292,281.229985,114.811661
12,A2,6,1507.908333,435.183461,177.662904
12,A3,6,1408.243866,337.728227,137.876971
13,A1,6,1877.774421,331.820892,135.465312
13,A2,6,2191.277894,424.513510,173.306915
13,A3,6,1964.623958,425.551406,173.730634
14,A1,6,2186.158796,542.565468,221.501425
14,A2,6,2183.648495,619.470554,252.897795
14,A3,6,2966.412847,657.375968,268.372615
