Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A4,6,84.920718,17.221955,7.030834
1,A5,6,78.589468,21.407273,8.739483
1,A6,6,84.214120,9.007911,3.677464
2,A4,6,166.060417,36.174962,14.768367
2,A5,6,149.511343,30.262542,12.354631
2,A6,6,145.676042,29.915822,12.213083
3,A4,6,317.704167,50.127458,20.464449
3,A5,6,291.964583,45.071618,18.400411
3,A6,6,286.199421,65.446949,26.718605
4,A4,6,590.218981,115.416184,47.118460
4,A5,6,589.375231,119.400912,48.745218
4,A6,6,573.287037,79.117406,32.299546
5,A4,6,1050.767477,187.118610,76.390853
5,A5,6,1061.954630,93.322621,38.098801
5,A6,6,973.850463,275.993555,112.673897
6,A4,6,1727.418981,280.981611,114.710262
6,A5,6,1799.878241,523.916351,213.887955
6,A6,6,1658.107292,227.105575,92.715463
7,A4,6,2237.825000,331.276966,135.243255
7,A5,6,2408.152546,304.085418,124.142352
7,A6,6,2393.553588,89.250057,36.436183
8,A4,6,2035.690394,211.862343,86.492439
8,A5,6,2466.047569,317.087253,129.450329
8,A6,6,2414.369329,287.937877,117.550146
9,A4,6,2842.742940,389.933496,159.189683
9,A5,6,3178.341319,288.696280,117.859763
9,A6,6,3127.813773,265.504707,108.391843
10,A4,6,2867.669676,325.278659,132.794456
10,A5,6,3153.338773,411.642078,168.052175
10,A6,6,3383.568171,509.586129,208.037666
11,A4,6,3563.988542,305.174269,124.586874
11,A5,6,3773.710532,342.473702,139.814303
11,A6,6,3823.916435,471.737900,192.586191
12,A4,6,2833.870139,655.849473,267.749426
12,A5,6,2987.524769,746.346675,304.694754
12,A6,6,2652.608218,596.737691,243.617142
13,A4,6,3819.365278,493.881552,201.626299
13,A5,6,3950.427431,420.046546,171.483284
13,A6,6,3951.182407,552.051195,225.373956
14,A4,6,4076.656944,387.531994,158.209274
14,A5,6,4256.412269,265.752086,108.492835
14,A6,6,3702.858565,454.956894,185.735374
