Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,164.837076,13.208667,7.626027
2,3,310.328588,12.421352,7.171471
3,3,498.459259,37.408474,21.597793
4,3,690.709722,82.904110,47.864710
5,3,804.908989,111.683395,64.480438
6,3,1188.288657,79.627700,45.973074
7,3,1563.538156,40.769744,23.538423
8,3,1634.130247,57.376141,33.126130
9,3,1556.192554,119.468976,68.975445
10,3,1522.992284,299.147623,172.712961
11,3,1608.247685,233.749780,134.955498
12,3,1500.928164,89.398824,51.614435
13,3,2011.225424,161.863768,93.452090
14,3,2445.406713,451.206294,260.504075
